"",BBK01.CEFY0N,BBK01.CEFY0N_FLAGS
"",Trade credits and advances                                    debtor: Total           creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:21,
1999-01,66.8,
1999-04,66.6,
1999-07,66.0,
1999-10,71.2,
2000-01,75.0,
2000-04,77.1,
2000-07,80.3,
2000-10,84.4,
2001-01,85.0,
2001-04,86.8,
2001-07,85.2,
2001-10,90.6,
2002-01,83.9,
2002-04,84.6,
2002-07,85.5,
2002-10,87.9,
2003-01,87.6,
2003-04,86.3,
2003-07,86.7,
2003-10,87.9,
2004-01,91.4,
2004-04,91.4,
2004-07,93.3,
2004-10,95.1,
2005-01,95.1,
2005-04,98.4,
2005-07,101.4,
2005-10,105.4,
2006-01,108.3,
2006-04,109.5,
2006-07,112.4,
2006-10,118.9,
2007-01,122.2,
2007-04,124.8,
2007-07,129.1,
2007-10,132.1,
2008-01,136.2,
2008-04,139.9,
2008-07,141.4,
2008-10,133.4,
2009-01,131.7,
2009-04,133.8,
2009-07,132.7,
2009-10,134.7,
2010-01,133.4,
2010-04,139.5,
2010-07,141.1,
2010-10,144.4,
2011-01,149.4,
2011-04,150.1,
2011-07,154.5,
2011-10,159.2,
2012-01,155.8,
2012-04,156.2,
2012-07,158.5,
2012-10,160.8,
2013-01,160.7,
2013-04,156.8,
2013-07,159.0,
2013-10,158.4,
2014-01,157.7,
2014-04,158.0,
2014-07,162.4,
