"",BBK01.OEBL02S,BBK01.OEBL02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:10,
2002-01,0.646,
2002-04,0.725,
2002-07,0.701,
2002-10,0.734,
2003-01,0.711,
2003-04,0.700,
2003-07,0.680,
2003-10,0.726,
2004-01,0.703,
2004-04,0.711,
2004-07,0.691,
2004-10,0.714,
2005-01,1.018,
2005-04,1.032,
2005-07,1.043,
2005-10,1.088,
2006-01,1.096,
2006-04,1.080,
2006-07,1.055,
2006-10,1.091,
2007-01,1.111,
2007-04,1.165,
2007-07,1.173,
2007-10,1.185,
2008-01,1.172,
2008-04,1.163,
2008-07,1.215,
2008-10,1.363,
2009-01,1.399,
2009-04,1.428,
2009-07,1.442,
2009-10,1.470,
2010-01,1.501,
2010-04,1.630,
2010-07,1.659,
2010-10,1.685,
2011-01,1.676,
2011-04,1.692,
2011-07,1.727,
2011-10,1.797,
2012-01,1.794,
2012-04,1.849,
2012-07,1.910,
2012-10,1.986,
2013-01,2.070,
2013-04,2.118,
2013-07,2.127,
2013-10,2.166,
2014-01,2.240,
2014-04,2.317,
2014-07,2.353,
