"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D.F5._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D.F5._Z._T._X.N_FLAGS
"",IIP - Direct investment - Equity and investment fund shares/units - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:14,
1999-10,359798,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,470244,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,573577,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,553286,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,571915,
2004-01,572327,
2004-04,581433,
2004-07,581938,
2004-10,594482,
2005-01,612867,
2005-04,641878,
2005-07,656463,
2005-10,699167,
2006-01,712176,
2006-04,713522,
2006-07,752842,
2006-10,787332,
2007-01,822743,
2007-04,854762,
2007-07,859534,
2007-10,889767,
2008-01,873593,
2008-04,881472,
2008-07,893391,
2008-10,847791,
2009-01,857780,
2009-04,876624,
2009-07,887209,
2009-10,896710,
2010-01,940019,
2010-04,983127,
2010-07,964644,
2010-10,988269,
2011-01,989571,
2011-04,1005797,
2011-07,1027973,
2011-10,1050123,
2012-01,1071020,
2012-04,1090338,
2012-07,1102464,
2012-10,1107932,
2013-01,1128515,
2013-04,1124141,
2013-07,1133383,
2013-10,1137002,
2014-01,1156837,
2014-04,1185582,
2014-07,1219716,
