"",BBFB1.Q.N.DE.E1.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.E1.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:13,
1991-01,1996.902,
1991-04,4660.963,
1991-07,3034.590,
1991-10,2596.661,
1992-01,6619.810,
1992-04,9351.806,
1992-07,4970.172,
1992-10,15055.027,
1993-01,18575.416,
1993-04,9456.035,
1993-07,3008.738,
1993-10,-13754.645,
1994-01,5989.362,
1994-04,2767.718,
1994-07,7339.131,
1994-10,8893.480,
1995-01,-2061.600,
1995-04,3891.754,
1995-07,1000.492,
1995-10,5490.533,
1996-01,5548.570,
1996-04,306.008,
1996-07,318.314,
1996-10,6987.591,
1997-01,13402.200,
1997-04,18150.793,
1997-07,17132.780,
1997-10,10975.881,
1998-01,31110.591,
1998-04,26614.497,
1998-07,19386.965,
1998-10,35382.304,
1999-01,52139.636,
1999-04,29100.495,
1999-07,33010.591,
1999-10,35290.351,
2000-01,69558.315,
2000-04,26668.463,
2000-07,48083.933,
2000-10,24156.664,
2001-01,45660.190,
2001-04,29800.672,
2001-07,9482.404,
2001-10,15423.004,
2002-01,32593.702,
2002-04,10214.248,
2002-07,9291.488,
2002-10,2190.337,
2003-01,7586.893,
2003-04,14776.567,
2003-07,7204.795,
2003-10,11590.148,
2004-01,23370.140,
2004-04,28271.603,
2004-07,17666.320,
2004-10,14144.167,
2005-01,61765.716,
2005-04,52811.888,
2005-07,20029.611,
2005-10,42932.072,
2006-01,54428.042,
2006-04,23285.329,
2006-07,15504.874,
2006-10,41887.915,
2007-01,50030.430,
2007-04,47521.436,
2007-07,-6920.115,
2007-10,2981.398,
2008-01,35456.622,
2008-04,35932.612,
2008-07,-11894.938,
2008-10,-53930.774,
2009-01,13566.128,
2009-04,25705.968,
2009-07,27853.680,
2009-10,12324.383,
2010-01,30688.940,
2010-04,5308.771,
2010-07,20877.792,
2010-10,79580.674,
2011-01,21854.724,
2011-04,10169.781,
2011-07,-10541.240,
2011-10,4396.254,
2012-01,38326.288,
2012-04,2077.252,
2012-07,23004.128,
2012-10,36774.630,
2013-01,38631.878,
2013-04,28402.125,
2013-07,17028.123,
2013-10,15842.027,
2014-01,32485.467,Provisional value
2014-04,30136.326,Provisional value
2014-07,17426.986,Provisional value
2014-10,22258.569,Provisional value
