"",BBK01.BQM001,BBK01.BQM001_FLAGS
"",General government debt - of which currency and deposits,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:24,
2000-01,8872,
2000-04,8971,
2000-07,8980,
2000-10,8982,
2001-01,8823,
2001-04,8584,
2001-07,8157,
2001-10,7193,
2002-01,3345,
2002-04,3503,
2002-07,3790,
2002-10,4168,
2003-01,4216,
2003-04,4600,
2003-07,4747,
2003-10,5003,
2004-01,5005,
2004-04,5258,
2004-07,5311,
2004-10,5493,
2005-01,5520,
2005-04,5687,
2005-07,5772,
2005-10,5925,
2006-01,5960,
2006-04,6184,
2006-07,6245,
2006-10,6422,
2007-01,6454,
2007-04,6678,
2007-07,6738,
2007-10,6934,
2008-01,6905,
2008-04,7060,
2008-07,7837,
2008-10,10525,
2009-01,10696,
2009-04,10724,
2009-07,10394,
2009-10,11100,
2010-01,11126,Provisional value
2010-04,11428,Provisional value
2010-07,11726,Provisional value
2010-10,12169,Provisional value
2011-01,11805,Provisional value
2011-04,11753,Provisional value
2011-07,11690,Provisional value
2011-10,11849,Provisional value
2012-01,11655,Provisional value
2012-04,11710,Provisional value
2012-07,11371,Provisional value
2012-10,11249,Provisional value
2013-01,11286,Provisional value
2013-04,11617,Provisional value
2013-07,11824,Provisional value
2013-10,12179,Provisional value
2014-01,12012,Provisional value
2014-04,12210,Provisional value
2014-07,12201,Provisional value
