"",BBFB1.Q.N.DE.S19800.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:21,
1991-01,248.652,
1991-04,256.437,
1991-07,248.370,
1991-10,257.779,
1992-01,288.778,
1992-04,294.593,
1992-07,282.173,
1992-10,287.243,
1993-01,232.277,
1993-04,229.863,
1993-07,222.767,
1993-10,232.297,
1994-01,291.786,
1994-04,290.002,
1994-07,308.001,
1994-10,344.268,
1995-01,358.651,
1995-04,380.217,
1995-07,364.275,
1995-10,379.557,
1996-01,373.325,
1996-04,416.366,
1996-07,430.448,
1996-10,418.479,
1997-01,414.019,
1997-04,429.168,
1997-07,417.049,
1997-10,414.458,
1998-01,473.569,
1998-04,538.536,
1998-07,484.747,
1998-10,531.610,
1999-01,535.923,
1999-04,615.580,
1999-07,641.086,
1999-10,663.313,
2000-01,736.060,
2000-04,800.273,
2000-07,811.490,
2000-10,798.972,
2001-01,692.859,
2001-04,649.861,
2001-07,540.658,
2001-10,493.481,
2002-01,513.376,
2002-04,482.293,
2002-07,409.472,
2002-10,361.149,
2003-01,347.617,
2003-04,333.474,
2003-07,277.435,
2003-10,259.762,
2004-01,295.073,
2004-04,288.915,
2004-07,290.062,
2004-10,298.127,
2005-01,302.956,
2005-04,354.068,
2005-07,348.816,
2005-10,376.278,
2006-01,395.716,
2006-04,446.841,
2006-07,417.109,
2006-10,426.585,
2007-01,455.462,
2007-04,524.509,
2007-07,477.276,
2007-10,455.660,
2008-01,500.465,
2008-04,489.942,
2008-07,362.754,
2008-10,348.975,
2009-01,274.752,
2009-04,297.504,
2009-07,250.907,
2009-10,279.605,
2010-01,228.218,
2010-04,274.391,
2010-07,185.979,
2010-10,204.145,
2011-01,239.005,
2011-04,338.399,
2011-07,236.710,
2011-10,238.933,
2012-01,269.704,
2012-04,391.239,
2012-07,230.997,
2012-10,210.439,
2013-01,316.499,
2013-04,376.669,
2013-07,246.883,
2013-10,257.724,
2014-01,261.098,Provisional value
2014-04,386.025,Provisional value
2014-07,261.475,Provisional value
