"",BBDE1.M.DE.Y.BAA1.P2XF00000.G.C.I10.L,BBDE1.M.DE.Y.BAA1.P2XF00000.G.C.I10.L_FLAGS
"",Output in the production sector / At constant prices / Germany / Main construction industry / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:30:54,
1950-01,42.7,
1950-02,39.6,
1950-03,29.6,
1950-04,29.4,
1950-05,28.0,
1950-06,27.8,
1950-07,29.0,
1950-08,30.0,
1950-09,31.0,
1950-10,33.3,
1950-11,33.1,
1950-12,38.1,
1951-01,44.7,
1951-02,47.0,
1951-03,36.8,
1951-04,33.5,
1951-05,32.5,
1951-06,31.0,
1951-07,31.3,
1951-08,30.6,
1951-09,33.2,
1951-10,33.8,
1951-11,34.4,
1951-12,40.9,
1952-01,47.8,
1952-02,42.1,
1952-03,36.8,
1952-04,35.8,
1952-05,34.5,
1952-06,36.4,
1952-07,35.1,
1952-08,36.8,
1952-09,38.4,
1952-10,38.4,
1952-11,37.1,
1952-12,38.0,
1953-01,45.7,
1953-02,44.1,
1953-03,46.2,
1953-04,45.3,
1953-05,45.0,
1953-06,42.7,
1953-07,43.2,
1953-08,44.3,
1953-09,45.4,
1953-10,45.3,
1953-11,45.6,
1953-12,49.6,
1954-01,44.1,
1954-02,37.6,
1954-03,45.2,
1954-04,48.6,
1954-05,49.2,
1954-06,50.4,
1954-07,49.6,
1954-08,52.9,
1954-09,53.7,
1954-10,54.0,
1954-11,53.4,
1954-12,57.4,
1955-01,50.3,
1955-02,47.1,
1955-03,38.3,
1955-04,55.5,
1955-05,59.3,
1955-06,57.5,
1955-07,60.0,
1955-08,60.4,
1955-09,60.2,
1955-10,60.5,
1955-11,59.6,
1955-12,60.8,
1956-01,65.2,
1956-02,37.9,
1956-03,50.9,
1956-04,60.2,
1956-05,64.3,
1956-06,61.0,
1956-07,62.9,
1956-08,62.1,
1956-09,61.3,
1956-10,61.1,
1956-11,58.1,
1956-12,61.5,
1957-01,56.3,
1957-02,62.3,
1957-03,61.3,
1957-04,60.2,
1957-05,57.1,
1957-06,57.9,
1957-07,55.7,
1957-08,55.4,
1957-09,55.7,
1957-10,56.3,
1957-11,57.1,
1957-12,57.1,
1958-01,55.4,
1958-02,54.3,
1958-03,48.1,
1958-04,58.0,
1958-05,60.0,
1958-06,61.8,
1958-07,61.7,
1958-08,62.1,
1958-09,62.7,
1958-10,63.4,
1958-11,64.6,
1958-12,66.3,
1959-01,60.1,
1959-02,59.7,
1959-03,75.3,
1959-04,67.2,
1959-05,70.5,
1959-06,70.7,
1959-07,69.0,
1959-08,70.7,
1959-09,71.6,
1959-10,70.0,
1959-11,71.6,
1959-12,69.4,
1960-01,66.7,
1960-02,65.3,
1960-03,73.9,
1960-04,73.9,
1960-05,71.1,
1960-06,75.4,
1960-07,73.2,
1960-08,71.9,
1960-09,72.6,
1960-10,71.1,
1960-11,73.2,
1960-12,69.4,
1961-01,71.5,
1961-02,79.5,
1961-03,85.7,
1961-04,78.2,
1961-05,80.6,
1961-06,78.8,
1961-07,79.3,
1961-08,80.2,
1961-09,78.4,
1961-10,82.4,
1961-11,79.1,
1961-12,70.1,
1962-01,92.4,
1962-02,91.6,
1962-03,84.6,
1962-04,82.2,
1962-05,81.4,
1962-06,82.3,
1962-07,81.8,
1962-08,83.6,
1962-09,83.7,
1962-10,82.3,
1962-11,85.3,
1962-12,85.7,
1963-01,76.3,
1963-02,73.5,
1963-03,80.3,
1963-04,86.1,
1963-05,88.2,
1963-06,88.5,
1963-07,87.1,
1963-08,89.9,
1963-09,88.1,
1963-10,88.5,
1963-11,94.6,
1963-12,90.6,
1964-01,94.1,
1964-02,100.1,
1964-03,96.2,
1964-04,94.2,
1964-05,94.6,
1964-06,94.8,
1964-07,95.2,
1964-08,92.7,
1964-09,93.2,
1964-10,95.3,
1964-11,96.7,
1964-12,102.3,
1965-01,109.4,
1965-02,98.5,
1965-03,94.8,
1965-04,99.2,
1965-05,97.8,
1965-06,94.7,
1965-07,96.5,
1965-08,97.1,
1965-09,98.0,
1965-10,99.0,
1965-11,90.7,
1965-12,99.8,
1966-01,98.6,
1966-02,103.5,
1966-03,111.1,
1966-04,101.6,
1966-05,99.4,
1966-06,98.5,
1966-07,99.1,
1966-08,95.6,
1966-09,96.5,
1966-10,96.0,
1966-11,90.8,
1966-12,94.3,
1967-01,95.4,
1967-02,95.7,
1967-03,95.6,
1967-04,92.0,
1967-05,88.2,
1967-06,89.3,
1967-07,91.9,
1967-08,92.3,
1967-09,94.0,
1967-10,94.1,
1967-11,96.9,
1967-12,94.2,
1968-01,92.1,
1968-02,97.9,
1968-03,94.9,
1968-04,95.1,
1968-05,96.9,
1968-06,97.5,
1968-07,96.1,
1968-08,101.3,
1968-09,97.5,
1968-10,98.2,
1968-11,104.8,
1968-12,99.6,
1969-01,106.9,
1969-02,98.8,
1969-03,101.1,
1969-04,103.9,
1969-05,107.8,
1969-06,107.1,
1969-07,111.7,
1969-08,110.2,
1969-09,108.8,
1969-10,112.3,
1969-11,112.9,
1969-12,100.5,
1970-01,103.2,
1970-02,102.2,
1970-03,101.0,
1970-04,108.3,
1970-05,113.0,
1970-06,116.6,
1970-07,119.6,
1970-08,118.5,
1970-09,117.7,
1970-10,116.2,
1970-11,117.6,
1970-12,123.2,
1971-01,110.1,
1971-02,117.2,
1971-03,108.2,
1971-04,117.1,
1971-05,117.0,
1971-06,118.8,
1971-07,121.2,
1971-08,117.7,
1971-09,119.7,
1971-10,119.6,
1971-11,115.1,
1971-12,125.5,
1972-01,115.8,
1972-02,118.6,
1972-03,128.9,
1972-04,125.8,
1972-05,122.6,
1972-06,125.5,
1972-07,123.9,
1972-08,125.4,
1972-09,124.7,
1972-10,126.4,
1972-11,127.9,
1972-12,129.1,
1973-01,126.0,
1973-02,129.0,
1973-03,129.8,
1973-04,124.3,
1973-05,131.4,
1973-06,128.9,
1973-07,123.7,
1973-08,128.9,
1973-09,126.8,
1973-10,124.5,
1973-11,121.6,
1973-12,109.5,
1974-01,124.8,
1974-02,129.2,
1974-03,122.3,
1974-04,120.1,
1974-05,118.8,
1974-06,114.8,
1974-07,113.3,
1974-08,110.8,
1974-09,112.9,
1974-10,110.1,
1974-11,110.6,
1974-12,110.9,
1975-01,115.9,
1975-02,113.8,
1975-03,102.6,
1975-04,97.7,
1975-05,97.9,
1975-06,99.4,
1975-07,101.8,
1975-08,99.5,
1975-09,101.7,
1975-10,103.0,
1975-11,104.6,
1975-12,108.3,
1976-01,112.7,
1976-02,101.2,
1976-03,101.1,
1976-04,108.9,
1976-05,107.1,
1976-06,107.3,
1976-07,104.8,
1976-08,109.2,
1976-09,107.6,
1976-10,110.7,
1976-11,114.8,
1976-12,115.2,
1977-01,113.6,
1977-02,117.4,
1977-03,114.3,
1977-04,108.6,
1977-05,107.0,
1977-06,105.9,
1977-07,102.1,
1977-08,102.2,
1977-09,103.2,
1977-10,103.9,
1977-11,100.4,
1977-12,108.0,
1978-01,116.0,
1978-02,90.3,
1978-03,111.2,
1978-04,107.8,
1978-05,106.2,
1978-06,105.7,
1978-07,105.9,
1978-08,103.4,
1978-09,105.8,
1978-10,109.0,
1978-11,113.1,
1978-12,100.8,
1979-01,81.4,
1979-02,96.6,
1979-03,113.9,
1979-04,117.3,
1979-05,119.3,
1979-06,116.7,
1979-07,116.7,
1979-08,110.0,
1979-09,114.8,
1979-10,116.9,
1979-11,114.5,
1979-12,115.8,
1980-01,105.8,
1980-02,129.2,
1980-03,126.5,
1980-04,117.4,
1980-05,113.9,
1980-06,111.5,
1980-07,108.0,
1980-08,106.1,
1980-09,110.6,
1980-10,109.3,
1980-11,105.2,
1980-12,93.3,
1981-01,97.3,
1981-02,104.4,
1981-03,109.3,
1981-04,111.8,
1981-05,108.0,
1981-06,106.4,
1981-07,101.3,
1981-08,103.3,
1981-09,103.6,
1981-10,99.0,
1981-11,97.4,
1981-12,85.8,
1982-01,89.3,
1982-02,102.8,
1982-03,100.1,
1982-04,99.7,
1982-05,98.4,
1982-06,96.3,
1982-07,94.8,
1982-08,99.3,
1982-09,99.5,
1982-10,96.4,
1982-11,99.9,
1982-12,104.3,
1983-01,106.4,
1983-02,87.6,
1983-03,92.7,
1983-04,96.4,
1983-05,95.9,
1983-06,101.4,
1983-07,100.9,
1983-08,101.3,
1983-09,102.8,
1983-10,101.4,
1983-11,103.1,
1983-12,96.8,
1984-01,102.5,
1984-02,99.6,
1984-03,98.9,
1984-04,96.7,
1984-05,100.3,
1984-06,97.4,
1984-07,104.6,
1984-08,97.3,
1984-09,98.3,
1984-10,97.9,
1984-11,98.5,
1984-12,104.2,
1985-01,75.2,
1985-02,82.2,
1985-03,86.0,
1985-04,92.1,
1985-05,92.6,
1985-06,95.1,
1985-07,99.3,
1985-08,94.3,
1985-09,96.2,
1985-10,96.9,
1985-11,85.9,
1985-12,100.1,
1986-01,92.6,
1986-02,77.9,
1986-03,85.9,
1986-04,93.5,
1986-05,95.5,
1986-06,97.8,
1986-07,102.6,
1986-08,100.5,
1986-09,100.8,
1986-10,100.2,
1986-11,105.2,
1986-12,108.6,
1987-01,80.1,
1987-02,86.4,
1987-03,71.4,
1987-04,101.5,
1987-05,100.5,
1987-06,100.7,
1987-07,101.7,
1987-08,104.5,
1987-09,102.4,
1987-10,100.1,
1987-11,102.8,
1987-12,105.0,
1988-01,112.7,
1988-02,100.9,
1988-03,80.5,
1988-04,101.1,
1988-05,100.5,
1988-06,100.3,
1988-07,99.9,
1988-08,102.8,
1988-09,100.8,
1988-10,100.0,
1988-11,98.5,
1988-12,106.6,
1989-01,119.4,
1989-02,119.7,
1989-03,108.5,
1989-04,104.0,
1989-05,99.1,
1989-06,102.2,
1989-07,101.7,
1989-08,104.6,
1989-09,103.1,
1989-10,105.2,
1989-11,108.0,
1989-12,107.3,
1990-01,119.2,
1990-02,124.2,
1990-03,120.1,
1990-04,112.1,
1990-05,111.8,
1990-06,107.1,
1990-07,111.0,
1990-08,108.2,
1990-09,110.5,
1990-10,114.4,
1990-11,112.0,
1990-12,106.7,
1991-01,126.4,
1991-02,101.5,
1991-03,117.4,
1991-04,116.3,
1991-05,114.9,
1991-06,115.1,
1991-07,116.1,
1991-08,115.2,
1991-09,116.6,
1991-10,117.8,
1991-11,119.9,
1991-12,120.5,
1992-01,125.2,
1992-02,133.0,
1992-03,128.8,
1992-04,126.7,
1992-05,128.0,
1992-06,126.7,
1992-07,123.2,
1992-08,127.5,
1992-09,127.2,
1992-10,125.1,
1992-11,127.7,
1992-12,137.0,
1993-01,128.1,
1993-02,128.1,
1993-03,132.8,
1993-04,132.4,
1993-05,133.1,
1993-06,131.4,
1993-07,129.3,
1993-08,134.8,
1993-09,133.0,
1993-10,134.6,
1993-11,125.5,
1993-12,128.9,
1994-01,143.1,
1994-02,132.0,
1994-03,149.3,
1994-04,142.3,
1994-05,141.3,
1994-06,143.0,
1994-07,140.8,
1994-08,144.2,
1994-09,143.5,
1994-10,148.8,
1994-11,153.4,
1994-12,148.7,
1995-01,131.5,
1995-02,154.1,
1995-03,146.5,
1995-04,146.8,
1995-05,145.3,
1995-06,143.2,
1995-07,143.8,
1995-08,142.8,
1995-09,139.9,
1995-10,141.8,
1995-11,147.0,
1995-12,128.1,
1996-01,118.8,
1996-02,108.3,
1996-03,118.2,
1996-04,137.1,
1996-05,139.3,
1996-06,143.4,
1996-07,138.8,
1996-08,140.0,
1996-09,141.5,
1996-10,136.5,
1996-11,136.0,
1996-12,138.4,
1997-01,109.5,
1997-02,126.4,
1997-03,127.5,
1997-04,129.1,
1997-05,128.6,
1997-06,130.2,
1997-07,131.1,
1997-08,127.6,
1997-09,129.4,
1997-10,128.4,
1997-11,127.1,
1997-12,126.7,
1998-01,125.0,
1998-02,122.4,
1998-03,126.1,
1998-04,122.4,
1998-05,124.6,
1998-06,125.6,
1998-07,125.6,
1998-08,123.8,
1998-09,123.5,
1998-10,121.8,
1998-11,120.2,
1998-12,117.2,
1999-01,128.4,
1999-02,113.9,
1999-03,127.7,
1999-04,124.7,
1999-05,124.8,
1999-06,124.3,
1999-07,125.6,
1999-08,123.9,
1999-09,124.0,
1999-10,125.3,
1999-11,123.2,
1999-12,123.2,
2000-01,123.4,
2000-02,130.8,
2000-03,123.2,
2000-04,122.2,
2000-05,122.4,
2000-06,117.2,
2000-07,118.4,
2000-08,118.5,
2000-09,115.9,
2000-10,112.8,
2000-11,117.6,
2000-12,117.0,
2001-01,113.4,
2001-02,116.4,
2001-03,106.7,
2001-04,105.7,
2001-05,111.2,
2001-06,110.6,
2001-07,109.3,
2001-08,112.1,
2001-09,111.4,
2001-10,111.8,
2001-11,109.8,
2001-12,111.3,
2002-01,108.5,
2002-02,114.4,
2002-03,110.0,
2002-04,108.1,
2002-05,106.3,
2002-06,105.0,
2002-07,103.6,
2002-08,105.3,
2002-09,105.8,
2002-10,102.8,
2002-11,104.3,
2002-12,99.2,
2003-01,101.0,
2003-02,95.4,
2003-03,105.0,
2003-04,104.0,
2003-05,101.9,
2003-06,103.7,
2003-07,103.7,
2003-08,100.8,
2003-09,101.2,
2003-10,100.2,
2003-11,99.6,
2003-12,102.3,
2004-01,96.4,
2004-02,100.6,
2004-03,100.4,
2004-04,97.0,
2004-05,97.4,
2004-06,96.2,
2004-07,96.2,
2004-08,94.7,
2004-09,94.5,
2004-10,94.1,
2004-11,93.5,
2004-12,95.1,
2005-01,96.7,
2005-02,85.2,
2005-03,78.9,
2005-04,90.0,
2005-05,92.2,
2005-06,92.3,
2005-07,93.2,
2005-08,93.0,
2005-09,92.0,
2005-10,94.6,
2005-11,91.8,
2005-12,94.9,
2006-01,88.2,
2006-02,88.3,
2006-03,80.5,
2006-04,95.9,
2006-05,99.1,
2006-06,98.5,
2006-07,101.1,
2006-08,100.4,
2006-09,100.8,
2006-10,100.4,
2006-11,103.8,
2006-12,104.8,
