"",BBSF2.M.1.T.00000.DAC01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.DAC01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Funds total / Funds-of-funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:16,
2009-09,80,
2009-10,101,
2009-11,78,
2009-12,25,
2010-01,16,
2010-02,7,
2010-03,3,
2010-04,3,
2010-05,7,
2010-06,7,
2010-07,6,
2010-08,6,
2010-09,7,
2010-10,9,
2010-11,9,
2010-12,4,
2011-01,13,
2011-02,15,
2011-03,19,
2011-04,19,
2011-05,19,
2011-06,18,
2011-07,19,
2011-08,16,
2011-09,16,
2011-10,19,
2011-11,18,
2011-12,46,
2012-01,73,
2012-02,109,
2012-03,115,
2012-04,120,
2012-05,84,
2012-06,67,
2012-07,95,
2012-08,109,
2012-09,103,
2012-10,71,
2012-11,78,
2012-12,63,
2013-01,71,
2013-02,77,
2013-03,81,
2013-04,109,
2013-05,100,
2013-06,126,
2013-07,136,
2013-08,178,
2013-09,166,
2013-10,167,
2013-11,165,
2013-12,160,
2014-01,122,
2014-02,69,
2014-03,88,
2014-04,74,
2014-05,75,
2014-06,73,
2014-07,70,
2014-08,57,
2014-09,55,
2014-10,63,
2014-11,64,
