"",BBDE1.M.DE.Y.AEB1.A2Q610000.F.C.I10.A,BBDE1.M.DE.Y.AEB1.A2Q610000.F.C.I10.A_FLAGS
"",Orders received from the domestic market / At constant prices / Germany / Capital goods excluding 30 Manufacture of other transport equipment / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:11,
1995-01,83.9,
1995-02,85.9,
1995-03,86.5,
1995-04,85.9,
1995-05,87.6,
1995-06,84.0,
1995-07,84.1,
1995-08,84.3,
1995-09,85.8,
1995-10,81.5,
1995-11,82.5,
1995-12,87.1,
1996-01,84.9,
1996-02,80.9,
1996-03,86.1,
1996-04,85.9,
1996-05,83.2,
1996-06,87.2,
1996-07,85.3,
1996-08,85.5,
1996-09,86.8,
1996-10,87.5,
1996-11,84.4,
1996-12,83.8,
1997-01,84.7,
1997-02,81.8,
1997-03,87.3,
1997-04,87.2,
1997-05,87.1,
1997-06,86.6,
1997-07,87.1,
1997-08,85.6,
1997-09,86.0,
1997-10,87.7,
1997-11,89.6,
1997-12,87.8,
1998-01,90.8,
1998-02,90.1,
1998-03,95.1,
1998-04,92.2,
1998-05,92.6,
1998-06,94.0,
1998-07,92.1,
1998-08,90.7,
1998-09,92.1,
1998-10,91.0,
1998-11,92.6,
1998-12,91.1,
1999-01,94.3,
1999-02,89.0,
1999-03,90.0,
1999-04,89.7,
1999-05,91.1,
1999-06,96.7,
1999-07,94.1,
1999-08,94.8,
1999-09,94.0,
1999-10,93.8,
1999-11,95.7,
1999-12,96.2,
2000-01,94.4,
2000-02,99.7,
2000-03,96.8,
2000-04,104.9,
2000-05,102.5,
2000-06,100.7,
2000-07,102.4,
2000-08,102.9,
2000-09,101.8,
2000-10,102.1,
2000-11,104.4,
2000-12,102.2,
2001-01,102.0,
2001-02,104.3,
2001-03,101.7,
2001-04,100.5,
2001-05,98.3,
2001-06,98.7,
2001-07,98.6,
2001-08,101.5,
2001-09,97.2,
2001-10,95.4,
2001-11,94.0,
2001-12,95.6,
2002-01,96.0,
2002-02,93.0,
2002-03,93.4,
2002-04,94.3,
2002-05,93.0,
2002-06,97.0,
2002-07,94.4,
2002-08,97.8,
2002-09,95.5,
2002-10,95.2,
2002-11,95.8,
2002-12,93.7,
2003-01,95.7,
2003-02,98.8,
2003-03,93.2,
2003-04,94.3,
2003-05,95.2,
2003-06,92.3,
2003-07,95.0,
2003-08,92.8,
2003-09,96.7,
2003-10,98.1,
2003-11,100.6,
2003-12,97.6,
2004-01,98.0,
2004-02,99.7,
2004-03,98.6,
2004-04,100.3,
2004-05,98.9,
2004-06,99.5,
2004-07,100.0,
2004-08,98.4,
2004-09,99.3,
2004-10,103.9,
2004-11,99.5,
2004-12,101.8,
2005-01,99.3,
2005-02,98.0,
2005-03,99.9,
2005-04,100.9,
2005-05,99.0,
2005-06,103.6,
2005-07,103.8,
2005-08,103.5,
2005-09,105.1,
2005-10,105.0,
2005-11,105.8,
2005-12,105.2,
2006-01,105.1,
2006-02,106.1,
2006-03,104.3,
2006-04,107.1,
2006-05,111.7,
2006-06,107.2,
2006-07,108.7,
2006-08,111.8,
2006-09,115.8,
2006-10,111.6,
2006-11,111.5,
2006-12,113.3,
2007-01,115.6,
2007-02,117.5,
2007-03,119.7,
2007-04,115.0,
2007-05,118.6,
2007-06,116.3,
2007-07,117.9,
2007-08,117.4,
2007-09,118.5,
2007-10,121.8,
2007-11,121.1,
2007-12,126.2,
2008-01,121.1,
2008-02,121.5,
2008-03,118.7,
2008-04,120.7,
2008-05,115.8,
2008-06,115.9,
2008-07,111.2,
2008-08,115.1,
2008-09,109.8,
2008-10,102.3,
2008-11,93.7,
2008-12,89.7,
2009-01,84.5,
2009-02,86.6,
2009-03,86.9,
2009-04,83.3,
2009-05,84.4,
2009-06,84.7,
2009-07,79.4,
2009-08,92.0,
2009-09,87.9,
2009-10,87.7,
2009-11,90.1,
2009-12,87.3,
2010-01,84.6,
2010-02,93.0,
2010-03,95.8,
2010-04,98.9,
2010-05,100.0,
2010-06,102.3,
2010-07,100.0,
2010-08,102.3,
2010-09,102.4,
2010-10,105.1,
2010-11,104.2,
2010-12,103.8,
2011-01,109.0,
2011-02,112.5,
2011-03,107.2,
2011-04,109.0,
2011-05,103.4,
2011-06,110.1,
2011-07,112.6,
2011-08,109.5,
2011-09,107.4,
2011-10,107.1,
2011-11,106.9,
2011-12,104.9,
2012-01,106.4,
2012-02,108.0,
2012-03,103.2,
2012-04,106.2,
2012-05,106.7,
2012-06,105.6,
2012-07,104.4,
2012-08,101.7,
2012-09,101.0,
2012-10,100.4,
2012-11,99.7,
2012-12,102.8,
2013-01,102.0,
2013-02,103.3,
2013-03,104.8,
2013-04,102.7,
2013-05,100.3,
2013-06,105.7,
2013-07,102.1,
2013-08,107.4,
2013-09,107.9,
2013-10,106.4,
2013-11,109.1,
2013-12,103.5,
2014-01,107.5,
2014-02,110.4,
2014-03,106.8,
2014-04,110.1,
2014-05,107.3,
2014-06,105.9,
2014-07,108.2,
2014-08,107.1,
2014-09,104.5,
2014-10,111.0,
2014-11,107.4,
2014-12,109.0,Provisional value
