"",BBFN1.M.DE.N.1.A.CZ.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CZ.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Czech Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:29,
1995-01,0.255,
1995-02,0.261,
1995-03,0.266,
1995-04,0.277,
1995-05,0.286,
1995-06,0.293,
1995-07,0.298,
1995-08,0.307,
1995-09,0.314,
1995-10,0.331,
1995-11,0.328,
1995-12,0.309,
1996-01,0.333,
1996-02,0.352,
1996-03,0.389,
1996-04,0.441,
1996-05,0.454,
1996-06,0.504,
1996-07,0.517,
1996-08,0.517,
1996-09,0.604,
1996-10,0.557,
1996-11,0.568,
1996-12,0.572,
1997-01,0.592,
1997-02,0.612,
1997-03,0.671,
1997-04,0.687,
1997-05,0.691,
1997-06,0.743,
1997-07,0.761,
1997-08,0.798,
1997-09,0.797,
1997-10,0.825,
1997-11,0.826,
1997-12,0.850,
1998-01,0.844,
1998-02,0.938,
1998-03,0.944,
1998-04,0.999,
1998-05,1.148,
1998-06,1.167,
1998-07,1.250,
1998-08,1.281,
1998-09,1.366,
1998-10,1.355,
1998-11,1.395,
1998-12,1.247,
1999-01,1.252,
1999-02,1.244,
1999-03,1.283,
1999-04,1.274,
1999-05,1.246,
1999-06,1.253,
1999-07,1.282,
1999-08,1.258,
1999-09,1.273,
1999-10,1.296,
1999-11,1.209,
1999-12,1.207,
2000-01,1.216,
2000-02,1.236,
2000-03,1.236,
2000-04,1.188,
2000-05,1.168,
2000-06,1.247,
2000-07,1.298,
2000-08,1.304,
2000-09,1.257,
2000-10,1.229,
2000-11,1.262,
2000-12,1.313,
2001-01,1.334,
2001-02,1.381,
2001-03,1.399,
2001-04,1.442,
2001-05,1.458,
2001-06,1.517,
2001-07,1.518,
2001-08,1.571,
2001-09,1.667,
2001-10,1.567,
2001-11,1.498,
2001-12,1.551,
2002-01,1.415,
2002-02,1.401,
2002-03,1.367,
2002-04,1.492,
2002-05,1.455,
2002-06,1.542,
2002-07,1.430,
2002-08,1.373,
2002-09,1.279,
2002-10,1.254,
2002-11,1.234,
2002-12,1.258,
2003-01,1.277,
2003-02,1.313,
2003-03,1.290,
2003-04,1.304,
2003-05,1.372,
2003-06,1.411,
2003-07,1.399,
2003-08,1.341,
2003-09,1.365,
2003-10,1.446,
2003-11,1.431,
2003-12,1.462,
2004-01,1.401,
2004-02,1.411,
2004-03,1.483,
2004-04,1.479,
2004-05,1.516,
2004-06,1.652,
2004-07,1.607,
2004-08,1.528,
2004-09,1.553,
2004-10,1.556,
2004-11,1.551,
2004-12,1.565,
2005-01,1.562,
2005-02,1.788,
2005-03,1.660,
2005-04,1.674,
2005-05,1.690,
2005-06,1.789,
2005-07,1.661,
2005-08,1.750,
2005-09,1.764,
2005-10,1.789,
2005-11,1.774,
2005-12,1.770,
2006-01,1.863,
2006-02,1.946,
2006-03,1.823,
2006-04,1.894,
2006-05,1.863,
2006-06,1.895,
2006-07,1.866,
2006-08,1.901,
2006-09,1.905,
2006-10,1.831,
2006-11,1.887,
2006-12,1.882,
2007-01,1.954,
2007-02,2.064,
2007-03,2.025,
2007-04,2.059,
2007-05,2.129,
2007-06,2.149,
2007-07,2.212,
2007-08,2.188,
2007-09,2.241,
2007-10,2.395,
2007-11,2.398,
2007-12,2.394,
2008-01,2.355,
2008-02,2.033,
2008-03,2.145,
2008-04,2.190,
2008-05,2.308,
2008-06,2.525,
2008-07,2.325,
2008-08,2.261,
2008-09,2.428,
2008-10,2.470,
2008-11,2.444,
2008-12,2.386,
2009-01,2.341,
2009-02,2.428,
2009-03,2.599,
2009-04,2.694,
2009-05,2.603,
2009-06,2.584,
2009-07,2.618,
2009-08,2.630,
2009-09,2.660,
2009-10,2.639,
2009-11,2.614,
2009-12,2.541,
2010-01,2.534,
2010-02,2.453,
2010-03,2.689,
2010-04,2.934,
2010-05,2.947,
2010-06,2.761,
2010-07,3.007,
2010-08,2.878,
2010-09,2.832,
2010-10,2.892,
2010-11,2.824,
2010-12,2.889,
2011-01,2.829,
2011-02,2.936,
2011-03,2.919,
2011-04,2.908,
2011-05,3.088,
2011-06,3.194,
2011-07,3.206,
2011-08,3.202,
2011-09,3.198,
2011-10,3.208,
2011-11,3.044,
2011-12,2.992,
2012-01,3.025,
2012-02,2.424,
2012-03,3.015,
2012-04,3.230,
2012-05,2.757,
2012-06,2.765,
2012-07,3.229,
2012-08,3.202,
2012-09,3.246,
2012-10,3.243,
2012-11,3.151,
2012-12,3.233,
2013-01,3.356,
2013-02,3.507,
2013-03,3.511,
2013-04,3.503,
2013-05,3.559,
2013-06,3.557,
2013-07,3.281,
2013-08,3.347,
2013-09,2.901,
2013-10,3.154,
2013-11,3.054,
2013-12,2.878,
2014-01,2.926,
2014-02,3.093,
2014-03,2.862,
2014-04,2.678,
2014-05,2.868,
2014-06,2.847,
2014-07,2.789,
2014-08,2.827,
2014-09,2.900,
2014-10,2.831,
2014-11,2.889,
2014-12,2.887,
