"",BBK01.OEAH03J,BBK01.OEAH03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:56,
2002-01,10.824,
2002-04,10.712,
2002-07,10.615,
2002-10,10.743,
2003-01,10.488,
2003-04,10.817,
2003-07,10.918,
2003-10,10.826,
2004-01,11.488,
2004-04,11.738,
2004-07,12.229,
2004-10,12.173,
2005-01,13.056,
2005-04,13.389,
2005-07,13.735,
2005-10,14.989,
2006-01,14.594,
2006-04,15.002,
2006-07,15.471,
2006-10,13.909,
2007-01,14.326,
2007-04,14.618,
2007-07,15.669,
2007-10,15.927,
2008-01,15.990,
2008-04,16.941,
2008-07,17.313,
2008-10,17.346,
2009-01,16.892,
2009-04,16.592,
2009-07,16.181,
2009-10,16.055,
2010-01,16.212,
2010-04,16.286,
2010-07,15.866,
2010-10,16.031,
2011-01,15.852,
2011-04,15.899,
2011-07,15.900,
2011-10,15.850,
2012-01,16.030,
2012-04,15.320,
2012-07,14.483,
2012-10,13.935,
2013-01,13.748,
2013-04,12.055,
2013-07,10.809,
2013-10,10.439,
2014-01,9.350,
2014-04,9.044,
2014-07,8.472,
