"",BBEX3.M.USD.GBP.CA.AA.A01,BBEX3.M.USD.GBP.CA.AA.A01_FLAGS
"",Exchange rates (closing) for the pound sterling in the United States / GBP 1 = USD ... (buying),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:51,
1989-01,1.7525,
1989-02,1.7428,
1989-03,1.6855,
1989-04,1.6865,
1989-05,1.5710,
1989-06,1.5530,
1989-07,1.6650,
1989-08,1.5680,
1989-09,1.6190,
1989-10,1.5800,
1989-11,1.5695,
1989-12,1.6100,
1990-01,1.6770,
1990-02,1.6750,
1990-03,1.6445,
1990-04,1.6400,
1990-05,1.6780,
1990-06,1.7485,
1990-07,1.8637,
1990-08,1.8895,
1990-09,1.8778,
1990-10,1.9430,
1990-11,1.9430,
1990-12,1.9320,
1991-01,1.9660,
1991-02,1.9120,
1991-03,1.7407,
1991-04,1.7310,
1991-05,1.6970,
1991-06,1.6215,
1991-07,1.6850,
1991-08,1.6805,
1991-09,1.7485,
1991-10,1.7390,
1991-11,1.7672,
1991-12,1.8650,
1992-01,1.7850,
1992-02,1.7567,
1992-03,1.7360,
1992-04,1.7770,
1992-05,1.8280,
1992-06,1.9040,
1992-07,1.9270,
1992-08,1.9875,
1992-09,1.7845,
1992-10,1.5557,
1992-11,1.5150,
1992-12,1.5100,
1993-01,1.4865,
1993-02,1.4265,
1993-03,1.5138,
1993-04,1.5730,
1993-05,1.5607,
1993-06,1.4915,
1993-07,1.4815,
1993-08,1.4916,
1993-09,1.4955,
1993-10,1.4810,
1993-11,1.4860,
1993-12,1.4765,
1994-01,1.5052,
1994-02,1.4850,
1994-03,1.4830,
1994-04,1.5185,
1994-05,1.5100,
1994-06,1.5436,
1994-07,1.5425,
1994-08,1.5330,
1994-09,1.5795,
1994-10,1.6352,
1994-11,1.5640,
1994-12,1.5660,
1995-01,1.5795,
1995-02,1.5830,
1995-03,1.6220,
1995-04,1.6120,
1995-05,1.5870,
1995-06,1.5945,
1995-07,1.5955,
1995-08,1.5490,
1995-09,1.5838,
1995-10,1.5800,
1995-11,1.5310,
1995-12,1.5510,
1996-01,1.5125,
1996-02,1.5317,
1996-03,1.5265,
1996-04,1.5072,
1996-05,1.5509,
1996-06,1.5525,
1996-07,1.5562,
1996-08,1.5624,
1996-09,1.5650,
1996-10,1.6260,
1996-11,1.6815,
1996-12,1.7125,
1997-01,1.6025,
1997-02,1.6280,
1997-03,1.6375,
1997-04,1.6238,
1997-05,1.6405,
1997-06,1.6640,
1997-07,1.6400,
1997-08,1.6200,
1997-09,1.6185,
1997-10,1.6730,
1997-11,1.6885,
1997-12,1.6470,
1998-01,1.6325,
1998-02,1.6433,
1998-03,1.6720,
1998-04,1.6715,
1998-05,1.6295,
1998-06,1.6672,
1998-07,1.6330,
