"",BBAI3.Q.DE.N.V.LE.F332A.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332A.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Securities other than shares excluding financial derivatives over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:50,
2005-10,12,
2006-01,11,
2006-04,9,
2006-07,7,
2006-10,9,
2007-01,12,
2007-04,9,
2007-07,9,
2007-10,13,
2008-01,9,
2008-04,8,
2008-07,8,
2008-10,12,
2009-01,9,
2009-04,9,
2009-07,9,
2009-10,9,
2010-01,7,
2010-04,6,
2010-07,6,
2010-10,7,
2011-01,6,
2011-04,6,
2011-07,8,
2011-10,9,
2012-01,10,
2012-04,9,
2012-07,11,
2012-10,10,
2013-01,3,
2013-04,3,
2013-07,3,
2013-10,2,
2014-01,2,
2014-04,2,
2014-07,2,
