"",BBK01.OEYB23I,BBK01.OEYB23I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:46,
2002-01,0.139,
2002-04,0.135,
2002-07,0.060,
2002-10,0.116,
2003-01,0.372,
2003-04,0.522,
2003-07,0.626,
2003-10,0.644,
2004-01,0.618,
2004-04,0.617,
2004-07,0.617,
2004-10,0.617,
2005-01,0.612,
2005-04,0.777,
2005-07,0.548,
2005-10,0.764,
2006-01,0.836,
2006-04,0.840,
2006-07,1.327,
2006-10,1.512,
2007-01,1.236,
2007-04,2.319,
2007-07,2.013,
2007-10,1.332,
2008-01,1.539,
2008-04,1.542,
2008-07,1.505,
2008-10,1.150,
2009-01,1.122,
2009-04,2.581,
2009-07,4.162,
2009-10,4.141,
2010-01,3.999,
2010-04,3.691,
2010-07,2.924,
2010-10,2.730,
2011-01,4.473,
2011-04,4.193,
2011-07,3.118,
2011-10,2.901,
2012-01,2.777,
2012-04,2.409,
2012-07,2.089,
2012-10,2.025,
2013-01,1.745,
2013-04,1.745,
2013-07,1.866,
2013-10,1.864,
2014-01,1.678,
2014-04,1.078,
2014-07,1.078,
