"",BBFB1.Q.N.DE.U3.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:09,
1991-01,27.276,
1991-04,-48.140,
1991-07,724.917,
1991-10,273.198,
1992-01,-87.547,
1992-04,-180.056,
1992-07,555.743,
1992-10,695.594,
1993-01,549.078,
1993-04,130.553,
1993-07,264.291,
1993-10,898.714,
1994-01,-321.544,
1994-04,269.631,
1994-07,758.153,
1994-10,837.114,
1995-01,600.239,
1995-04,-242.900,
1995-07,-49.747,
1995-10,1197.651,
1996-01,-322.837,
1996-04,191.286,
1996-07,772.368,
1996-10,105.190,
1997-01,-986.724,
1997-04,350.768,
1997-07,-523.178,
1997-10,-528.840,
1998-01,428.129,
1998-04,1029.110,
1998-07,2220.269,
1998-10,-3282.300,
1999-01,1148.068,
1999-04,792.028,
1999-07,-1816.178,
1999-10,-4212.842,
2000-01,1505.463,
2000-04,-150.869,
2000-07,1133.335,
2000-10,591.074,
2001-01,-640.799,
2001-04,-3.806,
2001-07,737.936,
2001-10,942.367,
2002-01,2220.843,
2002-04,-752.771,
2002-07,478.240,
2002-10,-21.679,
2003-01,-478.515,
2003-04,786.273,
2003-07,1241.797,
2003-10,1817.110,
2004-01,1087.028,
2004-04,-639.431,
2004-07,-602.898,
2004-10,1364.615,
2005-01,2638.346,
2005-04,1511.265,
2005-07,4642.958,
2005-10,3352.677,
2006-01,1445.605,
2006-04,1327.752,
2006-07,1462.062,
2006-10,9414.678,
2007-01,-2040.035,
2007-04,487.740,
2007-07,3796.523,
2007-10,80.073,
2008-01,1773.859,
2008-04,-25.774,
2008-07,556.797,
2008-10,-304.246,
2009-01,-930.693,
2009-04,-650.200,
2009-07,-2608.821,
2009-10,-231.901,
2010-01,-365.081,
2010-04,-1184.951,
2010-07,-994.676,
2010-10,1431.280,
2011-01,-2026.258,
2011-04,-2539.632,
2011-07,-1796.689,
2011-10,-959.153,
2012-01,-1427.259,
2012-04,-862.497,
2012-07,-434.591,
2012-10,-1746.540,
2013-01,-1214.606,
2013-04,-4775.131,
2013-07,2172.544,
2013-10,-1152.361,
2014-01,-1234.366,Provisional value
2014-04,-864.200,Provisional value
2014-07,-311.347,Provisional value
2014-10,2165.092,Provisional value
