"",BBK01.OECL02P,BBK01.OECL02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:28,
2002-01,0.113,
2002-04,0.148,
2002-07,0.143,
2002-10,0.141,
2003-01,0.134,
2003-04,0.139,
2003-07,0.135,
2003-10,0.139,
2004-01,0.138,
2004-04,0.143,
2004-07,0.136,
2004-10,0.150,
2005-01,0.259,
2005-04,0.264,
2005-07,0.268,
2005-10,0.273,
2006-01,0.265,
2006-04,0.263,
2006-07,0.251,
2006-10,0.266,
2007-01,0.262,
2007-04,0.283,
2007-07,0.287,
2007-10,0.308,
2008-01,0.291,
2008-04,0.288,
2008-07,0.306,
2008-10,0.374,
2009-01,0.407,
2009-04,0.400,
2009-07,0.497,
2009-10,0.473,
2010-01,0.422,
2010-04,0.436,
2010-07,0.452,
2010-10,0.457,
2011-01,0.426,
2011-04,0.418,
2011-07,0.441,
2011-10,0.437,
2012-01,0.435,
2012-04,0.452,
2012-07,0.455,
2012-10,0.471,
2013-01,0.465,
2013-04,0.472,
2013-07,0.474,
2013-10,0.492,
2014-01,0.519,
2014-04,0.503,
2014-07,0.506,
