"",BBK01.OEAD35G,BBK01.OEAD35G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:39,
2002-01,3.131,
2002-04,3.183,
2002-07,3.236,
2002-10,3.204,
2003-01,3.179,
2003-04,3.160,
2003-07,3.123,
2003-10,3.156,
2004-01,3.039,
2004-04,3.031,
2004-07,2.984,
2004-10,2.941,
2005-01,2.885,
2005-04,2.880,
2005-07,2.842,
2005-10,2.857,
2006-01,2.785,
2006-04,2.815,
2006-07,2.848,
2006-10,2.909,
2007-01,2.900,
2007-04,2.995,
2007-07,3.092,
2007-10,3.149,
2008-01,3.201,
2008-04,3.310,
2008-07,3.463,
2008-10,3.427,
2009-01,3.434,
2009-04,3.549,
2009-07,3.604,
2009-10,3.551,
2010-01,3.562,
2010-04,3.607,
2010-07,3.556,
2010-10,3.442,
2011-01,3.398,
2011-04,3.370,
2011-07,3.340,
2011-10,3.339,
2012-01,3.308,
2012-04,3.341,
2012-07,3.345,
2012-10,3.333,
2013-01,3.288,
2013-04,3.239,
2013-07,3.238,
2013-10,3.253,
2014-01,3.251,
2014-04,3.344,
2014-07,3.317,
