"",BBK01.OELM04K,BBK01.OELM04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:45,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,0.001,
2003-04,0.001,
2003-07,0.002,
2003-10,0.002,
2004-01,0.002,
2004-04,0.077,
2004-07,0.105,
2004-10,0.122,
2005-01,0.236,
2005-04,0.007,
2005-07,0.371,
2005-10,0.331,
2006-01,0.590,
2006-04,0.623,
2006-07,0.821,
2006-10,0.722,
2007-01,1.098,
2007-04,0.860,
2007-07,0.509,
2007-10,0.509,
2008-01,0.400,
2008-04,0.305,
2008-07,0.446,
2008-10,0.516,
2009-01,0.065,
2009-04,0.022,
2009-07,0.015,
2009-10,0.050,
2010-01,0.007,
2010-04,0.067,
2010-07,0.046,
2010-10,0.095,
2011-01,0.072,
2011-04,0.048,
2011-07,0.047,
2011-10,0.042,
2012-01,0.023,
2012-04,0.049,
2012-07,0.026,
2012-10,0.023,
2013-01,0.013,
2013-04,0.155,
2013-07,0.074,
2013-10,0.041,
2014-01,0.026,
2014-04,0.086,
2014-07,0.074,
