"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.Z5.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.Z5.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:25,
2009-09,29491,
2009-10,30004,
2009-11,31883,
2009-12,32244,
2010-01,33203,
2010-02,35020,
2010-03,35769,
2010-04,36502,
2010-05,37542,
2010-06,37105,
2010-07,38139,
2010-08,38324,
2010-09,38056,
2010-10,36947,
2010-11,35533,
2010-12,35670,
2011-01,34612,
2011-02,34110,
2011-03,33281,
2011-04,32666,
2011-05,32643,
2011-06,32511,
2011-07,33960,
2011-08,34642,
2011-09,35973,
2011-10,35418,
2011-11,33843,
2011-12,33857,
2012-01,34272,
2012-02,34226,
2012-03,32955,
2012-04,33643,
2012-05,34326,
2012-06,34163,
2012-07,34461,
2012-08,34532,
2012-09,34736,
2012-10,34778,
2012-11,35389,
2012-12,35805,
2013-01,36323,
2013-02,37555,
2013-03,37844,
2013-04,38396,
2013-05,38242,
2013-06,37142,
2013-07,38037,
2013-08,37130,
2013-09,37164,
2013-10,36572,
2013-11,35709,
2013-12,35774,
2014-01,36889,
2014-02,37824,
2014-03,37538,
2014-04,38308,
2014-05,38670,
2014-06,38629,
2014-07,39450,
2014-08,40019,
2014-09,40015,
2014-10,40653,
2014-11,41831,
