"",BBK01.OEXM01U,BBK01.OEXM01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:33,
2002-01,0.241,
2002-04,0.269,
2002-07,0.271,
2002-10,0.231,
2003-01,0.258,
2003-04,0.259,
2003-07,0.257,
2003-10,0.256,
2004-01,0.286,
2004-04,0.290,
2004-07,0.336,
2004-10,0.323,
2005-01,0.340,
2005-04,0.379,
2005-07,0.425,
2005-10,0.406,
2006-01,0.435,
2006-04,0.435,
2006-07,0.486,
2006-10,0.506,
2007-01,0.483,
2007-04,0.496,
2007-07,0.532,
2007-10,0.509,
2008-01,0.509,
2008-04,0.539,
2008-07,0.534,
2008-10,0.547,
2009-01,0.628,
2009-04,0.679,
2009-07,0.677,
2009-10,0.633,
2010-01,0.628,
2010-04,0.578,
2010-07,0.614,
2010-10,0.601,
2011-01,0.631,
2011-04,0.625,
2011-07,0.643,
2011-10,0.646,
2012-01,0.656,
2012-04,0.661,
2012-07,0.682,
2012-10,0.666,
2013-01,0.649,
2013-04,0.705,
2013-07,0.689,
2013-10,0.635,
2014-01,0.647,
2014-04,0.670,
2014-07,0.674,
