"",BBK01.OELB10N,BBK01.OELB10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:20,
2002-01,5.794,
2002-04,5.800,
2002-07,5.747,
2002-10,5.813,
2003-01,5.799,
2003-04,5.699,
2003-07,5.631,
2003-10,5.794,
2004-01,5.816,
2004-04,5.729,
2004-07,5.474,
2004-10,5.386,
2005-01,5.430,
2005-04,5.263,
2005-07,5.058,
2005-10,4.694,
2006-01,4.878,
2006-04,4.663,
2006-07,4.871,
2006-10,4.686,
2007-01,4.805,
2007-04,4.803,
2007-07,4.766,
2007-10,4.691,
2008-01,4.807,
2008-04,4.669,
2008-07,4.792,
2008-10,4.321,
2009-01,4.519,
2009-04,4.400,
2009-07,4.298,
2009-10,4.112,
2010-01,4.285,
2010-04,4.165,
2010-07,4.021,
2010-10,3.668,
2011-01,3.679,
2011-04,3.857,
2011-07,3.774,
2011-10,3.595,
2012-01,3.741,
2012-04,3.704,
2012-07,3.716,
2012-10,3.736,
2013-01,3.898,
2013-04,3.785,
2013-07,3.634,
2013-10,3.547,
2014-01,3.630,
2014-04,3.603,
2014-07,3.616,
