"",BBK01.CEH710,BBK01.CEH710_FLAGS
"",Other liabilities debtor: Non-financial corporations                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:01,
1991-01,0.8,
1991-04,-1.8,
1991-07,-3.9,
1991-10,-3.9,
1992-01,-3.4,
1992-04,-2.9,
1992-07,-5.9,
1992-10,-4.5,
1993-01,1.6,
1993-04,1.8,
1993-07,1.6,
1993-10,3.1,
1994-01,3.6,
1994-04,3.4,
1994-07,2.6,
1994-10,6.4,
1995-01,-0.8,
1995-04,-0.1,
1995-07,-1.8,
1995-10,-2.4,
1996-01,1.8,
1996-04,1.4,
1996-07,0.7,
1996-10,3.7,
1997-01,-1.0,
1997-04,0.1,
1997-07,-1.0,
1997-10,0.8,
1998-01,3.1,
1998-04,0.5,
1998-07,1.4,
1998-10,-1.4,
1999-01,6.3,
1999-04,3.5,
1999-07,3.7,
1999-10,9.6,
2000-01,5.9,
2000-04,4.2,
2000-07,5.4,
2000-10,6.6,
2001-01,-2.3,
2001-04,-1.2,
2001-07,-4.4,
2001-10,2.0,
2002-01,-6.5,
2002-04,0.9,
2002-07,1.0,
2002-10,2.5,
2003-01,0.6,
2003-04,0.0,
2003-07,1.5,
2003-10,2.1,
2004-01,-1.0,
2004-04,-4.8,
2004-07,-2.9,
2004-10,-2.1,
2005-01,5.3,
2005-04,7.2,
2005-07,7.0,
2005-10,8.5,
2006-01,3.0,
2006-04,1.2,
2006-07,2.9,
2006-10,6.6,
2007-01,15.1,
2007-04,13.7,
2007-07,19.9,
2007-10,11.7,
2008-01,7.0,
2008-04,7.9,
2008-07,5.5,
2008-10,-2.0,
2009-01,-16.1,
2009-04,-0.1,
2009-07,-13.3,
2009-10,-1.0,
2010-01,1.2,
2010-04,30.7,
2010-07,13.2,
2010-10,20.2,
2011-01,17.0,
2011-04,-0.7,
2011-07,13.8,
2011-10,15.1,
2012-01,-8.5,
2012-04,6.3,
2012-07,14.5,
2012-10,15.7,
2013-01,-1.1,
2013-04,-16.9,
2013-07,17.0,
2013-10,-11.2,
2014-01,-2.5,
