"",BBK01.OEHM04U,BBK01.OEHM04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:48,
2002-01,0.233,
2002-04,0.250,
2002-07,0.238,
2002-10,0.200,
2003-01,0.224,
2003-04,0.215,
2003-07,0.259,
2003-10,0.251,
2004-01,0.310,
2004-04,0.281,
2004-07,0.301,
2004-10,0.241,
2005-01,0.261,
2005-04,0.252,
2005-07,0.268,
2005-10,0.252,
2006-01,0.332,
2006-04,0.335,
2006-07,0.338,
2006-10,0.302,
2007-01,0.403,
2007-04,0.411,
2007-07,0.419,
2007-10,0.371,
2008-01,0.449,
2008-04,0.475,
2008-07,0.557,
2008-10,0.445,
2009-01,0.417,
2009-04,0.349,
2009-07,0.267,
2009-10,0.274,
2010-01,0.223,
2010-04,0.214,
2010-07,0.239,
2010-10,0.255,
2011-01,0.300,
2011-04,0.303,
2011-07,0.324,
2011-10,0.314,
2012-01,0.284,
2012-04,0.253,
2012-07,0.246,
2012-10,0.179,
2013-01,0.129,
2013-04,0.111,
2013-07,0.152,
2013-10,0.148,
2014-01,0.161,
2014-04,0.134,
2014-07,0.102,
