"",BBK01.OEBK03Q,BBK01.OEBK03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:06,
2002-01,0.345,
2002-04,0.352,
2002-07,0.361,
2002-10,0.355,
2003-01,0.315,
2003-04,0.286,
2003-07,0.270,
2003-10,0.284,
2004-01,0.313,
2004-04,0.294,
2004-07,0.335,
2004-10,0.306,
2005-01,0.288,
2005-04,0.258,
2005-07,0.255,
2005-10,0.281,
2006-01,0.333,
2006-04,0.399,
2006-07,0.467,
2006-10,0.506,
2007-01,0.539,
2007-04,0.566,
2007-07,0.626,
2007-10,0.675,
2008-01,0.708,
2008-04,0.718,
2008-07,0.771,
2008-10,0.684,
2009-01,0.461,
2009-04,0.389,
2009-07,0.371,
2009-10,0.275,
2010-01,0.238,
2010-04,0.229,
2010-07,0.211,
2010-10,0.284,
2011-01,0.281,
2011-04,0.285,
2011-07,0.247,
2011-10,0.229,
2012-01,0.250,
2012-04,0.218,
2012-07,0.199,
2012-10,0.193,
2013-01,0.195,
2013-04,0.193,
2013-07,0.204,
2013-10,0.196,
2014-01,0.184,
2014-04,0.182,
2014-07,0.174,
