"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:02,
1970-06,-,Nothing exists
1970-07,4199,
1970-08,4359,
1970-09,4421,
1970-10,4472,
1970-11,4460,
1970-12,4631,
1971-01,4996,
1971-02,5125,
1971-03,5243,
1971-04,5171,
1971-05,5152,
1971-06,5114,
1971-07,5249,
1971-08,5192,
1971-09,5156,
1971-10,5022,
1971-11,5096,
1971-12,5459,
1972-01,5721,
1972-02,6120,
1972-03,6333,
1972-04,6332,
1972-05,6551,
1972-06,6409,
1972-07,6812,
1972-08,7027,
1972-09,7039,
1972-10,6950,
1972-11,7090,
1972-12,7155,
1973-01,7423,
1973-02,7358,
1973-03,7680,
1973-04,7499,
1973-05,6952,
1973-06,6810,
1973-07,6594,
1973-08,6781,
1973-09,6853,
1973-10,7216,
1973-11,7026,
1973-12,7020,
1974-01,7186,
1974-02,6818,
1974-03,6602,
1974-04,6770,
1974-05,6597,
1974-06,6579,
1974-07,6523,
1974-08,6603,
1974-09,6398,
1974-10,6485,
1974-11,6754,
1974-12,7031,
1975-01,7616,
1975-02,8151,
1975-03,8268,
1975-04,8599,
1975-05,8381,
1975-06,8596,
1975-07,8920,
1975-08,8670,
1975-09,8618,
1975-10,9044,
1975-11,9457,
1975-12,9701,
1976-01,10004,
1976-02,10145,
1976-03,10640,
1976-04,10437,
1976-05,10301,
1976-06,10529,
1976-07,10498,
1976-08,10679,
1976-09,10956,
1976-10,10736,
1976-11,11477,
1976-12,11842,
1977-01,12216,
1977-02,12336,
1977-03,12975,
1977-04,13849,
1977-05,13947,
1977-06,14072,
1977-07,14532,
1977-08,15059,
1977-09,15307,
1977-10,15774,
1977-11,16143,
1977-12,16466,
1978-01,17355,
1978-02,18166,
1978-03,18574,
1978-04,18677,
1978-05,18608,
1978-06,18881,
1978-07,18687,
1978-08,19180,
1978-09,19752,
1978-10,19181,
1978-11,19000,
1978-12,19115,
1979-01,19413,
1979-02,19143,
1979-03,19356,
1979-04,19348,
1979-05,18885,
1979-06,18703,
1979-07,19345,
1979-08,19989,
1979-09,20056,
1979-10,19281,
1979-11,19844,
1979-12,20055,
1980-01,19947,
1980-02,19360,
1980-03,18495,
1980-04,19340,
1980-05,19986,
1980-06,20546,
1980-07,21146,
1980-08,21000,
1980-09,20681,
1980-10,20410,
1980-11,20231,
1980-12,19879,
1981-01,19672,
1981-02,18863,
1981-03,19395,
1981-04,19592,
1981-05,19179,
1981-06,19854,
1981-07,19869,
1981-08,19486,
1981-09,18975,
1981-10,19132,
1981-11,20040,
1981-12,20009,
1982-01,20199,
1982-02,20210,
1982-03,20991,
1982-04,21409,
1982-05,21262,
1982-06,20898,
1982-07,21424,
1982-08,22130,
1982-09,22784,
1982-10,23505,
1982-11,23575,
1982-12,24309,
1983-01,24321,
1983-02,24942,
1983-03,26477,
1983-04,27442,
1983-05,27012,
1983-06,27294,
1983-07,27803,
1983-08,27324,
1983-09,27648,
1983-10,28144,
1983-11,28604,
1983-12,29027,
1984-01,29863,
1984-02,29060,
1984-03,29259,
1984-04,29849,
1984-05,29179,
1984-06,29830,
1984-07,29923,
1984-08,31209,
1984-09,32298,
1984-10,33075,
1984-11,33621,
1984-12,34557,
1985-01,35159,
1985-02,35394,
1985-03,35908,
1985-04,37097,
1985-05,38960,
1985-06,39964,
1985-07,39666,
1985-08,41393,
1985-09,42270,
1985-10,43678,
1985-11,44452,
1985-12,46899,
1986-01,46725,
1986-02,47822,
1986-03,51008,
1986-04,52987,
1986-05,52710,
1986-06,52595,
1986-07,51923,
1986-08,55220,
1986-09,53483,
1986-10,54264,
1986-11,55724,
1986-12,57225,
1987-01,56508,
1987-02,56766,
1987-03,59564,
1987-04,60702,
1987-05,61532,
1987-06,62066,
1987-07,65428,
1987-08,66079,
1987-09,66783,
1987-10,61610,
1987-11,61262,
1987-12,62383,
1988-01,62469,
1988-02,66076,
1988-03,68321,
1988-04,69480,
1988-05,70695,
1988-06,72606,
1988-07,73940,
1988-08,74640,
1988-09,78146,
1988-10,79705,
1988-11,78782,
1988-12,81363,
1989-01,83194,
1989-02,81361,
1989-03,84360,
1989-04,87222,
1989-05,88964,
1989-06,90240,
1989-07,92745,
1989-08,95781,
1989-09,95988,
1989-10,93731,
1989-11,95286,
1989-12,97655,
1990-01,97487,
1990-02,96193,
1990-03,100450,
1990-04,99760,
1990-05,102430,
1990-06,104060,
1990-07,104893,
1990-08,101098,
1990-09,97205,
1990-10,98569,
1990-11,98773,
1990-12,98108,
1991-01,99239,
1991-02,103268,
1991-03,108402,
1991-04,112770,
1991-05,116763,
1991-06,117717,
1991-07,119130,
1991-08,122275,
1991-09,122470,
1991-10,123233,
1991-11,121219,
1991-12,120569,
1992-01,126933,
1992-02,131113,
1992-03,132419,
1992-04,135038,
1992-05,137685,
1992-06,136393,
1992-07,134441,
1992-08,130288,
1992-09,128228,
1992-10,129713,
1992-11,129165,
1992-12,129122,
1993-01,130689,
1993-02,136756,
1993-03,140641,
1993-04,141790,
1993-05,144462,
1993-06,147969,
1993-07,151267,
1993-08,157088,
1993-09,156519,
1993-10,164679,
1993-11,165248,
1993-12,173966,
1994-01,177689,
1994-02,178959,
1994-03,179719,
1994-04,185339,
1994-05,183425,
1994-06,182495,
1994-07,187364,
1994-08,188375,
1994-09,183249,
1994-10,185373,
1994-11,188054,
1994-12,187753,
1995-01,186811,
1995-02,188380,
1995-03,186360,
1995-04,190793,
1995-05,195340,
1995-06,194183,
1995-07,201699,
1995-08,206695,
1995-09,207405,
1995-10,208914,
1995-11,213658,
1995-12,217638,
1996-01,227863,
1996-02,226897,
1996-03,231443,
1996-04,240592,
1996-05,242272,
1996-06,244444,
1996-07,241198,
1996-08,248075,
1996-09,255268,
1996-10,257871,
1996-11,269407,
1996-12,271670,
1997-01,284718,
1997-02,300508,
1997-03,304645,
1997-04,313534,
1997-05,320034,
1997-06,341461,
1997-07,364872,
1997-08,350652,
1997-09,363567,
1997-10,352235,
1997-11,359723,
1997-12,373418,
1998-01,389520,
1998-02,409892,
1998-03,430022,
1998-04,432303,
1998-05,449424,
1998-06,464446,
1998-07,474672,
1998-08,448324,
1998-09,433535,
1998-10,440580,
1998-11,470300,
1998-12,476630,
1999-01,500798,
1999-02,499844,
1999-03,512133,
1999-04,539525,
1999-05,530843,
1999-06,545810,
1999-07,539081,
1999-08,552190,
1999-09,542425,
1999-10,561992,
1999-11,597393,
1999-12,646354,
2000-01,641489,
2000-02,680123,
2000-03,691551,
2000-04,693018,
2000-05,679543,
2000-06,685888,
2000-07,699108,
2000-08,726395,
2000-09,714649,
2000-10,720872,
2000-11,690894,
2000-12,686076,
2001-01,704611,
2001-02,670711,
2001-03,656448,
2001-04,678190,
2001-05,679977,
2001-06,669832,
2001-07,659707,
2001-08,631797,
2001-09,590318,
2001-10,615461,
2001-11,634894,
2001-12,645499,
2002-01,646355,
2002-02,645855,
2002-03,655726,
2002-04,643264,
2002-05,635300,
2002-06,604714,
2002-07,585124,
2002-08,590174,
2002-09,560611,
2002-10,576746,
2002-11,585522,
2002-12,568242,
2003-01,565266,
2003-02,562554,
2003-03,556062,
2003-04,577835,
2003-05,588327,
2003-06,603050,
2003-07,610481,
2003-08,620834,
2003-09,614212,
2003-10,626069,
2003-11,625481,
2003-12,635969,
2004-01,645513,
2004-02,654409,
2004-03,656270,
2004-04,652473,
2004-05,644956,
2004-06,653334,
2004-07,648185,
2004-08,649706,
2004-09,653574,
2004-10,656997,
2004-11,663524,
2004-12,669391,
2005-01,677031,
2005-02,679989,
2005-03,678739,
2005-04,677652,
2005-05,696182,
2005-06,710150,
2005-07,723326,
2005-08,724303,
2005-09,736198,
2005-10,723437,
2005-11,734669,
2005-12,741292,
2006-01,745987,
2006-02,757608,
2006-03,756130,
2006-04,749472,
2006-05,729127,
2006-06,721960,
2006-07,733565,
2006-08,739883,
2006-09,751700,
2006-10,760701,
2006-11,759002,
2006-12,762521,
2007-01,765241,
2007-02,765712,
2007-03,770236,
2007-04,784341,
2007-05,791588,
2007-06,781120,
2007-07,775788,
2007-08,767297,
2007-09,765538,
2007-10,775622,
2007-11,750842,
2007-12,752618,
2008-01,713127,
2008-02,711233,
2008-03,691817,
2008-04,713195,
2008-05,714820,
2008-06,678956,
2008-07,666756,
2008-08,674968,
2008-09,639856,
2008-10,589957,
2008-11,585740,
2008-12,582634,
2009-01,590962,
2009-02,576714,
2009-03,582828,
2009-04,595938,
2009-05,586068,
2009-06,590736,
2009-07,618364,
2009-08,630873,
2009-09,825613,
2009-10,826223,
2009-11,839431,
2009-12,859521,
2010-01,867050,
2010-02,876524,
2010-03,908163,
2010-04,915512,
2010-05,912535,
2010-06,903576,
2010-07,915481,
2010-08,936005,
2010-09,945447,
2010-10,960376,
2010-11,958444,
2010-12,971112,
2011-01,964675,
2011-02,977135,
2011-03,967054,
2011-04,973281,
2011-05,979346,
2011-06,970900,
2011-07,977777,
2011-08,940014,
2011-09,925996,
2011-10,946179,
2011-11,930768,
2011-12,954345,
2012-01,977835,
2012-02,1009497,
2012-03,1015417,
2012-04,1015749,
2012-05,1014081,
2012-06,1018386,
2012-07,1061469,
2012-08,1070872,
2012-09,1079744,
2012-10,1089331,
2012-11,1105097,
2012-12,1126822,
2013-01,1131846,
2013-02,1150762,
2013-03,1170868,
2013-04,1191633,
2013-05,1193696,
2013-06,1158769,
2013-07,1186967,
2013-08,1182177,
2013-09,1201892,
2013-10,1223049,
2013-11,1237180,
2013-12,1232044,
2014-01,1238772,
2014-02,1260510,
2014-03,1273300,
2014-04,1284988,
2014-05,1312362,
2014-06,1324184,
2014-07,1334140,
2014-08,1359478,
2014-09,1362736,
2014-10,1369720,
2014-11,1399405,
