"",BBSF2.M.1.P.00000.GEF01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.GEF01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Public funds / Mixed funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:57,
2009-09,2102,
2009-10,2204,
2009-11,2217,
2009-12,2284,
2010-01,2609,
2010-02,2747,
2010-03,2883,
2010-04,2891,
2010-05,2860,
2010-06,2898,
2010-07,3052,
2010-08,3132,
2010-09,3079,
2010-10,3147,
2010-11,3033,
2010-12,2995,
2011-01,2941,
2011-02,3039,
2011-03,2920,
2011-04,2966,
2011-05,2984,
2011-06,2889,
2011-07,2764,
2011-08,2654,
2011-09,2586,
2011-10,2512,
2011-11,2392,
2011-12,2419,
2012-01,2504,
2012-02,2598,
2012-03,2719,
2012-04,2770,
2012-05,2857,
2012-06,2789,
2012-07,2875,
2012-08,3003,
2012-09,3156,
2012-10,3225,
2012-11,3436,
2012-12,3626,
2013-01,3603,
2013-02,3666,
2013-03,3733,
2013-04,3814,
2013-05,3832,
2013-06,3351,
2013-07,3453,
2013-08,3522,
2013-09,3609,
2013-10,3594,
2013-11,3659,
2013-12,3734,
2014-01,3904,
2014-02,4049,
2014-03,4173,
2014-04,4250,
2014-05,4332,
2014-06,4417,
2014-07,4442,
2014-08,3600,
2014-09,3698,
2014-10,3803,
2014-11,3887,
