"",BBFB1.Q.N.DE.IE.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:45,
1991-01,142.977,
1991-04,46.773,
1991-07,123.895,
1991-10,372.451,
1992-01,320.276,
1992-04,575.375,
1992-07,15.304,
1992-10,16.392,
1993-01,180.428,
1993-04,208.233,
1993-07,37.180,
1993-10,102.236,
1994-01,-131.413,
1994-04,-1.010,
1994-07,148.802,
1994-10,532.880,
1995-01,627.043,
1995-04,853.603,
1995-07,-253.172,
1995-10,1773.049,
1996-01,1147.243,
1996-04,132.734,
1996-07,1295.885,
1996-10,636.918,
1997-01,340.314,
1997-04,1541.305,
1997-07,1706.863,
1997-10,1927.568,
1998-01,2287.442,
1998-04,1206.850,
1998-07,496.834,
1998-10,614.987,
1999-01,1408.285,
1999-04,557.775,
1999-07,2400.427,
1999-10,-714.367,
2000-01,-1033.238,
2000-04,953.177,
2000-07,1303.277,
2000-10,386.273,
2001-01,571.824,
2001-04,-111.175,
2001-07,1432.071,
2001-10,-1091.649,
2002-01,185.841,
2002-04,107.821,
2002-07,1688.830,
2002-10,-43.529,
2003-01,3423.724,
2003-04,3703.264,
2003-07,59.507,
2003-10,1611.669,
2004-01,1021.502,
2004-04,1847.772,
2004-07,2156.349,
2004-10,-661.761,
2005-01,7067.991,
2005-04,648.050,
2005-07,679.510,
2005-10,2648.921,
2006-01,-3614.083,
2006-04,1124.420,
2006-07,1206.248,
2006-10,-941.294,
2007-01,2330.180,
2007-04,-1621.412,
2007-07,6140.633,
2007-10,1287.962,
2008-01,1329.128,
2008-04,-3949.099,
2008-07,858.093,
2008-10,-189.913,
2009-01,-1338.925,
2009-04,1109.800,
2009-07,-586.857,
2009-10,-4355.883,
2010-01,-3230.816,
2010-04,-447.621,
2010-07,8458.704,
2010-10,33279.292,
2011-01,-27767.679,
2011-04,858.084,
2011-07,-1016.293,
2011-10,18663.613,
2012-01,-34792.896,
2012-04,-3368.117,
2012-07,-564.020,
2012-10,-1479.327,
2013-01,-2647.750,
2013-04,1450.502,
2013-07,-4856.641,
2013-10,-385.622,
2014-01,-2920.984,Provisional value
2014-04,-2552.432,Provisional value
2014-07,695.229,Provisional value
2014-10,-361.695,Provisional value
