"",BBK01.CEBE01,BBK01.CEBE01_FLAGS
"",short-term loans debtor: All sectors                   creditor: Non-financial corpoations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:12,
1991-01,86.6,
1991-04,86.6,
1991-07,85.4,
1991-10,83.2,
1992-01,85.6,
1992-04,85.6,
1992-07,85.3,
1992-10,82.4,
1993-01,82.0,
1993-04,83.1,
1993-07,83.2,
1993-10,84.5,
1994-01,86.5,
1994-04,88.4,
1994-07,89.1,
1994-10,91.9,
1995-01,93.2,
1995-04,95.3,
1995-07,96.3,
1995-10,97.0,
1996-01,100.0,
1996-04,103.0,
1996-07,101.8,
1996-10,103.3,
1997-01,106.9,
1997-04,109.2,
1997-07,109.5,
1997-10,111.8,
1998-01,113.9,
1998-04,119.8,
1998-07,125.6,
1998-10,132.2,
1999-01,134.8,
1999-04,138.4,
1999-07,147.6,
1999-10,145.9,
2000-01,141.8,
2000-04,146.1,
2000-07,138.0,
2000-10,156.7,
2001-01,175.7,
2001-04,175.8,
2001-07,173.7,
2001-10,180.3,
2002-01,191.5,
2002-04,187.7,
2002-07,193.5,
2002-10,188.1,
2003-01,196.8,
2003-04,195.9,
2003-07,199.8,
2003-10,198.4,
2004-01,199.9,
2004-04,198.6,
2004-07,202.2,
2004-10,195.9,
2005-01,203.8,
2005-04,214.5,
2005-07,218.4,
2005-10,219.8,
2006-01,224.4,
2006-04,229.6,
2006-07,230.8,
2006-10,232.0,
2007-01,233.5,
2007-04,233.7,
2007-07,236.4,
2007-10,243.8,
2008-01,246.1,
2008-04,254.0,
2008-07,254.1,
2008-10,249.4,
2009-01,257.2,
2009-04,267.1,
2009-07,255.9,
2009-10,241.1,
2010-01,239.3,
2010-04,247.8,
2010-07,242.5,
2010-10,242.1,
2011-01,252.7,
2011-04,249.3,
2011-07,248.0,
2011-10,252.3,
2012-01,259.5,
2012-04,270.6,
2012-07,268.9,
2012-10,268.6,
2013-01,278.9,
2013-04,277.0,
2013-07,279.9,
2013-10,279.0,
2014-01,287.9,
