"",BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F51._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F51._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Shares / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:02,
1991-01,2624.020,
1991-02,3628.058,
1991-03,4876.164,
1991-04,3837.003,
1991-05,4137.577,
1991-06,5000.567,
1991-07,3862.195,
1991-08,3258.419,
1991-09,2682.820,
1991-10,2780.705,
1991-11,2662.887,
1991-12,3049.744,
1992-01,3503.254,
1992-02,4105.912,
1992-03,6345.351,
1992-04,4648.284,
1992-05,5460.242,
1992-06,5054.062,
1992-07,4577.129,
1992-08,3537.103,
1992-09,4470.642,
1992-10,4197.232,
1992-11,3550.020,
1992-12,4914.134,
1993-01,4600.846,
1993-02,5459.074,
1993-03,11514.234,
1993-04,7363.032,
1993-05,7272.693,
1993-06,6218.708,
1993-07,6978.074,
1993-08,6496.201,
1993-09,5791.221,
1993-10,6653.589,
1993-11,6376.490,
1993-12,8470.395,
1994-01,9975.666,
1994-02,8467.923,
1994-03,9620.060,
1994-04,8752.021,
1994-05,6574.846,
1994-06,8126.814,
1994-07,4502.813,
1994-08,5795.524,
1994-09,4923.339,
1994-10,7093.964,
1994-11,5582.226,
1994-12,5319.069,
1995-01,6782.762,
1995-02,6771.852,
1995-03,9316.275,
1995-04,5845.329,
1995-05,7193.961,
1995-06,7627.571,
1995-07,6179.116,
1995-08,5948.850,
1995-09,6455.923,
1995-10,6250.726,
1995-11,7749.114,
1995-12,7037.833,
1996-01,8503.926,
1996-02,8495.390,
1996-03,15594.755,
1996-04,9303.516,
1996-05,7604.502,
1996-06,8787.614,
1996-07,8627.550,
1996-08,6211.243,
1996-09,8687.728,
1996-10,7837.028,
1996-11,10544.887,
1996-12,10001.215,
1997-01,12332.031,
1997-02,12192.816,
1997-03,19157.215,
1997-04,15963.288,
