"",BBK01.PQL361,BBK01.PQL361_FLAGS
"",Lending to domestic self-employed persons / Long-term / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:28,
1968-10,2.229,
1969-01,2.313,
1969-04,2.405,
1969-07,2.534,
1969-10,2.660,
1970-01,2.737,
1970-04,2.828,
1970-07,2.952,
1970-10,3.091,
1971-01,3.196,
1971-04,3.334,
1971-07,3.517,
1971-10,3.679,
1972-01,3.822,
1972-04,4.014,
1972-07,4.227,
1972-10,4.493,
1973-01,4.682,
1973-04,4.858,
1973-07,5.002,
1973-10,5.499,
1974-01,5.555,
1974-04,5.640,
1974-07,5.741,
1974-10,5.881,
1975-01,5.962,
1975-04,6.107,
1975-07,6.333,
1975-10,6.647,
1976-01,6.834,
1976-04,7.081,
1976-07,7.369,
1976-10,7.817,
1977-01,8.019,
1977-04,8.299,
1977-07,8.627,
1977-10,9.047,
1978-01,9.330,
1978-04,9.751,
1978-07,10.267,
1978-10,10.899,
1979-01,11.313,
1979-04,11.878,
1979-07,12.518,
1979-10,13.188,
1980-01,13.587,
1980-04,13.993,
1980-07,14.403,
1980-10,14.903,
1981-01,15.290,
1981-04,15.531,
1981-07,15.832,
1981-10,16.197,
1982-01,16.356,
1982-04,16.613,
1982-07,17.135,
1982-10,17.612,
1983-01,17.967,
1983-04,18.883,
1983-07,19.696,
1983-10,20.438,
1984-01,20.749,
1984-04,21.106,
1984-07,21.651,
1984-10,22.216,
1985-01,22.549,
1985-04,22.835,
1985-07,23.269,
1985-10,27.092,
1986-01,27.340,
1986-04,27.639,
1986-07,28.176,
1986-10,28.724,
1987-01,28.885,
1987-04,29.207,
1987-07,29.888,
1987-10,30.420,
1988-01,30.749,
1988-04,31.031,
1988-07,31.699,
1988-10,32.180,
1989-01,32.409,
1989-04,32.754,
1989-07,33.065,
1989-10,33.753,
1990-01,33.946,
1990-04,34.166,
1990-07,34.570,
1990-10,35.062,
1991-01,35.284,
1991-04,35.701,
1991-07,36.420,
1991-10,37.528,
1992-01,38.083,
1992-04,38.809,
1992-07,39.704,
1992-10,40.774,
1993-01,41.151,
1993-04,42.030,
1993-07,43.230,
1993-10,45.223,
1994-01,46.492,
1994-04,47.710,
1994-07,49.006,
1994-10,50.896,
1995-01,51.327,
1995-04,52.242,
1995-07,53.380,
1995-10,55.100,
1996-01,56.073,
1996-04,56.898,
1996-07,58.492,
1996-10,60.500,
1997-01,61.335,
1997-04,62.408,
1997-07,62.828,
1997-10,64.376,
1998-01,65.029,
1998-04,66.075,
1998-07,67.437,
1998-10,70.057,
1999-01,65.873,
1999-04,67.670,
1999-07,68.500,
1999-10,70.839,
2000-01,70.964,
2000-04,71.420,
2000-07,71.894,
2000-10,72.917,
2001-01,72.966,
2001-04,73.391,
2001-07,73.759,
2001-10,74.416,
2002-01,74.508,
2002-04,74.919,
2002-07,75.153,
2002-10,75.704,
2003-01,75.435,
2003-04,75.976,
2003-07,76.381,
2003-10,76.821,
2004-01,76.589,
2004-04,77.018,
2004-07,77.225,
2004-10,77.221,
2005-01,76.934,
2005-04,77.371,
2005-07,77.813,
2005-10,78.542,
2006-01,78.460,
2006-04,79.028,
2006-07,79.151,
2006-10,79.638,
2007-01,79.536,
2007-04,79.971,
2007-07,79.657,
2007-10,80.213,
2008-01,80.436,
2008-04,81.256,
2008-07,81.989,
2008-10,82.552,
2009-01,82.621,
2009-04,83.498,
2009-07,84.530,
2009-10,85.780,
2010-01,86.220,
2010-04,88.080,
2010-07,89.174,
2010-10,89.927,
2011-01,90.096,
2011-04,91.115,
2011-07,92.022,
2011-10,94.821,
2012-01,95.067,
2012-04,99.667,
2012-07,100.508,
2012-10,100.996,
2013-01,100.938,
2013-04,101.570,
2013-07,102.505,
2013-10,102.887,
2014-01,103.139,
2014-04,103.560,
2014-07,104.303,
2014-10,105.094,
