"",BBK01.OEYO02G,BBK01.OEYO02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:42,
2002-01,0.744,
2002-04,0.554,
2002-07,0.699,
2002-10,0.734,
2003-01,0.843,
2003-04,0.715,
2003-07,0.677,
2003-10,0.717,
2004-01,0.792,
2004-04,0.641,
2004-07,0.664,
2004-10,0.812,
2005-01,0.733,
2005-04,0.763,
2005-07,0.881,
2005-10,1.002,
2006-01,1.090,
2006-04,0.880,
2006-07,0.841,
2006-10,0.698,
2007-01,0.945,
2007-04,0.669,
2007-07,0.565,
2007-10,0.649,
2008-01,0.717,
2008-04,0.570,
2008-07,0.517,
2008-10,0.797,
2009-01,1.062,
2009-04,0.860,
2009-07,1.020,
2009-10,1.647,
2010-01,0.821,
2010-04,0.689,
2010-07,0.730,
2010-10,0.899,
2011-01,0.856,
2011-04,0.739,
2011-07,0.822,
2011-10,0.621,
2012-01,0.950,
2012-04,0.923,
2012-07,0.763,
2012-10,0.905,
2013-01,0.801,
2013-04,0.817,
2013-07,0.689,
2013-10,0.785,
2014-01,0.799,
2014-04,0.790,
2014-07,0.686,
