"",BBK01.OEAN04U,BBK01.OEAN04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:20,
2002-01,6.034,
2002-04,5.744,
2002-07,5.705,
2002-10,5.959,
2003-01,6.126,
2003-04,6.123,
2003-07,6.389,
2003-10,6.725,
2004-01,6.903,
2004-04,6.943,
2004-07,7.058,
2004-10,7.305,
2005-01,8.081,
2005-04,8.103,
2005-07,8.046,
2005-10,8.113,
2006-01,8.131,
2006-04,8.086,
2006-07,7.942,
2006-10,7.970,
2007-01,7.863,
2007-04,7.743,
2007-07,7.565,
2007-10,7.664,
2008-01,7.655,
2008-04,7.498,
2008-07,7.358,
2008-10,7.404,
2009-01,7.510,
2009-04,7.562,
2009-07,7.835,
2009-10,8.079,
2010-01,8.318,
2010-04,8.419,
2010-07,8.629,
2010-10,8.945,
2011-01,9.091,
2011-04,9.012,
2011-07,9.008,
2011-10,9.142,
2012-01,9.230,
2012-04,9.197,
2012-07,9.202,
2012-10,9.399,
2013-01,9.323,
2013-04,9.322,
2013-07,9.321,
2013-10,9.384,
2014-01,9.343,
2014-04,9.299,
2014-07,9.328,
