"",BBK01.OEAA32L,BBK01.OEAA32L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:28,
2002-01,0.372,
2002-04,0.335,
2002-07,0.307,
2002-10,0.336,
2003-01,0.321,
2003-04,0.311,
2003-07,0.318,
2003-10,0.302,
2004-01,0.291,
2004-04,0.274,
2004-07,0.288,
2004-10,0.279,
2005-01,0.195,
2005-04,0.190,
2005-07,0.180,
2005-10,0.177,
2006-01,0.144,
2006-04,0.145,
2006-07,0.160,
2006-10,0.155,
2007-01,0.148,
2007-04,0.162,
2007-07,0.163,
2007-10,0.165,
2008-01,0.161,
2008-04,0.161,
2008-07,0.171,
2008-10,0.148,
2009-01,0.139,
2009-04,0.138,
2009-07,0.124,
2009-10,0.120,
2010-01,0.114,
2010-04,0.146,
2010-07,0.228,
2010-10,0.231,
2011-01,0.106,
2011-04,0.102,
2011-07,0.100,
2011-10,0.138,
2012-01,0.088,
2012-04,0.103,
2012-07,0.058,
2012-10,0.058,
2013-01,0.088,
2013-04,0.055,
2013-07,0.056,
2013-10,0.057,
2014-01,0.055,
2014-04,0.054,
2014-07,0.046,
