"",BBEX3.M.UGX.USD.CA.AC.A01,BBEX3.M.UGX.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Uganda * / USD 1 = UGX ... (middle),
unit,UGX (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:49,
1988-01,60.120,
1988-02,60.120,
1988-03,60.180,
1988-04,60.180,
1988-05,60.180,
1988-06,60.180,
1988-07,150.600,comment
1988-08,150.600,
1988-09,150.600,
1988-10,150.600,
1988-11,150.600,
1988-12,165.660,comment
1989-01,165.660,
1989-02,165.660,
1989-03,200.800,comment
1989-04,200.800,
1989-05,200.800,
1989-06,200.800,
1989-07,200.800,
1989-08,200.800,
1989-09,200.800,
1989-10,341.360,comment
1989-11,371.480,comment
1989-12,371.480,
1990-01,376.500,
1990-02,380.520,
1990-03,380.520,
1990-04,380.520,
1990-05,385.540,
1990-06,441.760,
1990-07,441.760,
1990-08,451.800,
1990-09,481.920,
1990-10,481.920,
1990-11,512.040,
1990-12,542.160,
1991-01,572.280,
1991-02,602.400,
1991-03,622.480,
1991-04,642.560,
1991-05,672.680,
1991-06,702.800,
1991-07,803.200,
1991-08,803.200,
1991-09,853.400,
1991-10,918.660,
1991-11,918.660,
1991-12,918.660,
1992-01,973.880,
1992-02,998.980,
1992-03,1162.400,
1992-04,1161.230,
1992-05,1170.955,
1992-06,1171.810,
1992-07,1186.810,
1992-08,1187.500,
1992-09,1189.235,
1992-10,1184.755,
1992-11,1212.820,
1992-12,1219.585,
1993-01,1220.690,
1993-02,1217.920,
1993-03,1223.010,
1993-04,1221.615,
1993-05,1205.625,
1993-06,1201.700,
1993-07,1201.860,
1993-08,1193.855,
1993-09,1174.485,
1993-10,1173.570,
1993-11,1161.135,
1993-12,1130.165,
1994-01,1044.515,
1994-02,1092.680,
1994-03,1030.575,
1994-04,996.300,
1994-05,952.605,
1994-06,969.620,
1994-07,953.310,
1994-08,918.910,
1994-09,920.475,
1994-10,918.795,
1994-11,925.315,
1994-12,926.770,
1995-01,925.405,
1995-02,926.635,
1995-03,927.060,
1995-04,931.470,
1995-05,964.755,
1995-06,965.855,
1995-07,977.005,
1995-08,968.490,
1995-09,999.380,
1995-10,1059.490,
1995-11,1030.445,
1995-12,1009.450,
1996-01,1030.435,
1996-02,1015.960,
1996-03,1018.580,
1996-04,1020.560,
1996-05,1022.135,
1996-06,1058.815,
1996-07,1059.900,
1996-08,1071.665,
1996-09,1088.850,
1996-10,1101.830,
1996-11,1053.225,
1996-12,1029.590,
1997-01,1044.005,
1997-02,1027.650,
1997-03,1024.705,
1997-04,1071.300,
1997-05,1069.080,
1997-06,1067.495,
1997-07,1071.030,
1997-08,1112.170,
1997-09,1131.870,
1997-10,1143.880,
1997-11,1146.810,
1997-12,1140.105,
1998-01,1153.140,
1998-02,1152.395,
1998-03,1153.060,
1998-04,1233.775,
1998-05,1227.490,
1998-06,1232.005,
1998-07,1238.670,
1998-08,1257.160,
1998-09,1300.515,
1998-10,1330.575,
1998-11,1376.130,
1998-12,1362.690,
1999-01,1376.770,
1999-02,1377.105,
1999-03,1393.495,
1999-04,1518.160,
1999-05,1435.605,
1999-06,1452.555,
1999-07,1459.905,
1999-08,1468.385,
1999-09,1506.130,
1999-10,1506.035,
1999-11,1498.850,
1999-12,1506.045,
2000-01,1542.700,
2000-02,1509.350,
2000-03,1519.860,
2000-04,1534.230,
2000-05,1513.970,
2000-06,1571.650,
2000-07,1623.640,
2000-08,1724.845,
2000-09,1818.325,
2000-10,1844.905,
2000-11,1845.890,
2000-12,1766.680,
2001-01,1800.375,
2001-02,1761.990,
2001-03,1790.140,
2001-04,1791.090,
2001-05,1784.635,
2001-06,1723.840,
2001-07,1732.580,
2001-08,1757.180,
2001-09,1749.690,
2001-10,1737.340,
2001-11,1727.355,
2001-12,1727.400,
2002-01,1733.975,
2002-02,1758.355,
2002-03,1778.055,
2002-04,1798.385,
2002-05,1797.425,
2002-06,1797.150,
2002-07,1806.910,
2002-08,1806.270,
2002-09,1818.745,
2002-10,1833.730,
2002-11,1842.775,
2002-12,1852.565,
2003-01,1873.630,
2003-02,1911.550,
2003-03,1971.465,
2003-04,1986.535,
2003-05,1988.710,
2003-06,2002.805,
2003-07,1995.455,
2003-08,2000.545,
2003-09,1984.675,
2003-10,1984.820,
2003-11,1958.770,
2003-12,1935.320,
2004-01,1909.320,
2004-02,1906.895,
2004-03,1925.710,
2004-04,1911.260,
2004-05,1833.100,
2004-06,1788.755,
2004-07,1762.245,
2004-08,1717.215,
2004-09,1753.150,
2004-10,1726.985,
2004-11,1746.570,
2004-12,1738.590,
2005-01,1713.800,
2005-02,1700.605,
2005-03,1742.455,
2005-04,1776.820,
2005-05,1760.440,
2005-06,1739.730,
2005-07,1774.435,
2005-08,1820.200,
2005-09,1862.680,
2005-10,1832.125,
2005-11,1828.085,
2005-12,1813.255,
2006-01,1813.460,
2006-02,1824.160,
2006-03,1821.465,
2006-04,1827.550,
2006-05,1848.845,
2006-06,1858.975,
2006-07,1857.055,
2006-08,1852.720,
2006-09,1858.630,
2006-10,1822.650,
2006-11,1810.190,
2006-12,1739.595,
2007-01,1773.580,
2007-02,1741.625,
2007-03,1735.620,
2007-04,1732.530,
2007-05,1693.380,
2007-06,1603.345,
2007-07,1660.865,
2007-08,1792.125,
2007-09,1747.960,
2007-10,1736.100,
2007-11,1728.660,
2007-12,1696.290,
2008-01,1727.930,
2008-02,1692.150,
2008-03,1690.605,
2008-04,1680.635,
2008-05,1628.240,
2008-06,1624.960,
2008-07,1640.640,
2008-08,1646.565,
2008-09,1669.105,
2008-10,1921.275,
2008-11,1983.810,
2008-12,1957.695,
2009-01,1986.630,
2009-02,1975.475,
2009-03,2158.315,
2009-04,2222.490,
2009-05,2237.205,
2009-06,2074.605,
2009-07,2102.560,
2009-08,2060.750,
2009-09,1939.250,
2009-10,1882.150,
2009-11,1873.520,
2009-12,1903.520,
2010-01,1947.675,
2010-02,2032.015,
2010-03,2084.175,
2010-04,2098.865,
2010-05,2229.515,
2010-06,2277.375,
2010-07,2236.355,
2010-08,2264.285,
2010-09,2244.865,
2010-10,2284.385,
2010-11,2303.500,
2010-12,2319.890,
2011-01,2292.210,
2011-02,2352.005,
2011-03,2403.095,
2011-04,2380.905,
2011-05,2392.300,
2011-06,2653.855,
2011-07,2601.725,
2011-08,2821.185,
2011-09,2853.355,
2011-10,2609.715,
2011-11,2565.285,
2011-12,2493.280,
2012-01,2339.405,
2012-02,2365.285,
2012-03,2519.825,
2012-04,2506.775,
2012-05,2480.010,
2012-06,2473.240,
2012-07,2478.390,
2012-08,2499.170,
2012-09,2535.895,
2012-10,2588.970,
2012-11,2688.370,
2012-12,2685.945,
2013-01,2665.175,
2013-02,2646.165,
2013-03,2594.770,
2013-04,2597.350,
2013-05,2594.500,
2013-06,2593.335,
2013-07,2584.120,
2013-08,2590.190,
2013-09,2561.030,
2013-10,2526.870,
2013-11,2524.485,
2013-12,2527.955,
2014-01,2475.200,
2014-02,2538.065,
2014-03,2549.545,
2014-04,2521.355,
2014-05,2557.720,
2014-06,2599.680,
2014-07,2625.200,
2014-08,2616.995,
2014-09,2651.605,
2014-10,2707.330,
2014-11,2779.945,
2014-12,2773.065,
2015-01,2866.770,
"","General: * In addition to the published exchange rates, according to IMF reports, from 14 June to 26 November 1989 and from 2 July 1990 to 31 October 1993, other exchange rates existed; however, we do not have any details of these exchange rates or explanations as to their use.",
"","Source: Calculated on the basis of the buying and selling rates of the Bank of Uganda, Kampala.",
"",Comment on 1988-07: 1 July 1988: devaluation by 60.0% (middle rate).,
"",Comment on 1988-12: 5 December 1988: devaluation by 9.1%.,
"",Comment on 1989-03: 8 March 1989: devaluation by 17.5%.,
"",Comment on 1989-10: 24 October 1989: devaluation by 41.2%.,
"",Comment on 1989-11: 27 November 1989: devaluation by 8.1%.,
