"",BBFN1.M.DE.N.1.L.W00200.S1P.H2.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W00200.S1P.H2.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from advance payments received / Total / Industrial countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:51,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,7.780,
1995-02,7.794,
1995-03,7.906,
1995-04,7.969,
1995-05,8.149,
1995-06,8.232,
1995-07,8.419,
1995-08,8.582,
1995-09,8.027,
1995-10,8.143,
1995-11,7.956,
1995-12,7.450,
1996-01,7.642,
1996-02,7.910,
1996-03,8.088,
1996-04,8.175,
1996-05,8.550,
1996-06,8.288,
1996-07,8.412,
1996-08,8.650,
1996-09,8.327,
1996-10,8.400,
1996-11,8.714,
1996-12,8.432,
1997-01,8.900,
1997-02,8.909,
1997-03,9.087,
1997-04,9.365,
1997-05,9.611,
1997-06,9.565,
1997-07,9.547,
1997-08,9.944,
1997-09,9.902,
1997-10,9.736,
1997-11,9.321,
1997-12,9.156,
1998-01,9.464,
1998-02,9.769,
1998-03,9.918,
1998-04,10.231,
1998-05,10.299,
1998-06,10.274,
1998-07,10.687,
1998-08,10.733,
1998-09,10.504,
1998-10,10.595,
1998-11,10.132,
1998-12,9.367,
1999-01,9.732,
1999-02,9.998,
1999-03,10.169,
1999-04,10.183,
1999-05,10.050,
1999-06,10.163,
1999-07,10.178,
1999-08,10.332,
1999-09,9.577,
1999-10,9.898,
1999-11,9.912,
1999-12,9.678,
2000-01,9.962,
2000-02,10.216,
2000-03,10.353,
2000-04,10.490,
2000-05,10.944,
2000-06,11.007,
2000-07,11.569,
2000-08,12.154,
2000-09,11.925,
2000-10,11.902,
2000-11,11.985,
2000-12,11.682,
2001-01,12.120,
2001-02,12.429,
2001-03,12.557,
2001-04,12.984,
2001-05,13.146,
2001-06,13.631,
2001-07,13.329,
2001-08,13.917,
2001-09,13.745,
2001-10,13.966,
2001-11,13.987,
2001-12,13.637,
2002-01,13.934,
2002-02,14.454,
2002-03,14.610,
2002-04,13.918,
2002-05,14.708,
2002-06,14.607,
2002-07,14.568,
2002-08,14.841,
2002-09,14.788,
2002-10,15.641,
2002-11,14.787,
2002-12,14.190,
2003-01,14.387,
2003-02,14.630,
2003-03,14.689,
2003-04,15.493,
2003-05,15.241,
2003-06,15.165,
2003-07,15.588,
2003-08,15.644,
2003-09,15.250,
2003-10,15.352,
2003-11,15.387,
2003-12,14.220,
2004-01,14.907,
2004-02,14.918,
2004-03,16.197,
2004-04,16.484,
2004-05,18.015,
2004-06,17.518,
2004-07,17.894,
2004-08,17.733,
2004-09,17.563,
2004-10,17.945,
2004-11,18.129,
2004-12,17.515,
2005-01,18.028,
2005-02,18.274,
2005-03,18.386,
2005-04,18.776,
2005-05,18.856,
2005-06,18.227,
2005-07,18.481,
2005-08,19.003,
2005-09,18.312,
2005-10,18.635,
2005-11,18.899,
2005-12,18.595,
2006-01,19.238,
2006-02,19.788,
2006-03,20.255,
2006-04,20.459,
2006-05,20.511,
2006-06,20.584,
2006-07,21.408,
2006-08,21.643,
2006-09,21.493,
2006-10,21.763,
2006-11,21.959,
2006-12,21.135,
2007-01,22.505,
2007-02,22.871,
2007-03,23.143,
2007-04,24.254,
2007-05,24.547,
2007-06,25.007,
2007-07,26.182,
2007-08,26.874,
2007-09,26.364,
2007-10,26.860,
2007-11,26.872,
2007-12,26.583,
2008-01,27.063,
2008-02,27.898,
2008-03,28.486,
2008-04,28.900,
2008-05,29.376,
2008-06,29.200,
2008-07,29.757,
2008-08,29.936,
2008-09,30.119,
2008-10,30.076,
2008-11,29.979,
2008-12,28.439,
2009-01,28.976,
2009-02,29.116,
2009-03,28.737,
2009-04,28.714,
2009-05,28.921,
2009-06,28.337,
2009-07,28.698,
2009-08,29.101,
2009-09,28.686,
2009-10,28.798,
2009-11,28.565,
2009-12,27.204,
2010-01,27.527,
2010-02,27.753,
2010-03,27.829,
2010-04,28.024,
2010-05,27.797,
2010-06,27.758,
2010-07,27.781,
2010-08,28.069,
2010-09,28.153,
2010-10,28.522,
2010-11,27.642,
2010-12,28.030,
2011-01,30.844,
2011-02,31.208,
2011-03,31.905,
2011-04,32.649,
2011-05,33.223,
2011-06,32.939,
2011-07,33.374,
2011-08,34.065,
2011-09,34.113,
2011-10,34.701,
2011-11,34.219,
2011-12,33.760,
2012-01,34.394,
2012-02,33.988,
2012-03,33.365,
2012-04,34.421,
2012-05,34.532,
2012-06,34.336,
2012-07,34.731,
2012-08,34.655,
2012-09,35.791,
2012-10,35.318,
2012-11,35.014,
2012-12,34.181,
2013-01,34.589,
2013-02,34.575,
2013-03,34.631,
2013-04,35.130,
2013-05,34.941,
2013-06,33.255,
2013-07,34.180,
2013-08,34.703,
2013-09,34.392,
2013-10,35.516,
2013-11,35.440,
2013-12,34.676,
2014-01,34.942,
2014-02,35.576,
2014-03,34.486,
2014-04,34.849,
2014-05,35.149,
2014-06,34.720,
2014-07,35.516,
2014-08,35.708,
2014-09,35.814,
2014-10,35.497,
2014-11,35.353,
2014-12,35.178,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
