"",BBFB1.M.N.DE.W1.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:20,
1991-01,844.081,
1991-02,767.017,
1991-03,909.164,
1991-04,1069.328,
1991-05,1047.078,
1991-06,1107.067,
1991-07,1406.352,
1991-08,1256.142,
1991-09,1218.166,
1991-10,1117.804,
1991-11,920.232,
1991-12,1015.345,
1992-01,801.106,
1992-02,831.236,
1992-03,965.684,
1992-04,1008.266,
1992-05,991.834,
1992-06,1175.646,
1992-07,1298.343,
1992-08,1273.026,
1992-09,1229.550,
1992-10,1070.680,
1992-11,936.443,
1992-12,1028.766,
1993-01,789.319,
1993-02,823.110,
1993-03,988.400,
1993-04,1104.626,
1993-05,1033.071,
1993-06,1173.663,
1993-07,1236.254,
1993-08,1179.348,
1993-09,1207.391,
1993-10,1036.210,
1993-11,980.967,
1993-12,1068.058,
1994-01,796.990,
1994-02,780.102,
1994-03,1003.044,
1994-04,906.195,
1994-05,1068.194,
1994-06,1117.098,
1994-07,1167.438,
1994-08,1201.869,
1994-09,1212.966,
1994-10,1057.499,
1994-11,957.924,
1994-12,1101.547,
1995-01,833.675,
1995-02,841.532,
1995-03,1056.680,
1995-04,990.265,
1995-05,1169.855,
1995-06,1202.194,
1995-07,1349.823,
1995-08,1225.882,
1995-09,1237.639,
1995-10,1160.575,
1995-11,1039.698,
1995-12,1082.194,
1996-01,914.889,
1996-02,934.325,
1996-03,1082.940,
1996-04,1096.246,
1996-05,1182.251,
1996-06,1173.666,
1996-07,1366.615,
1996-08,1258.993,
1996-09,1225.171,
1996-10,1220.419,
1996-11,1000.169,
1996-12,1103.269,
1997-01,1039.856,
1997-02,1033.446,
1997-03,1130.758,
1997-04,1338.109,
1997-05,1250.379,
1997-06,1401.282,
1997-07,1630.961,
1997-08,1436.577,
1997-09,1480.339,
1997-10,1456.704,
1997-11,1204.745,
1997-12,1334.368,
1998-01,1071.641,
1998-02,1180.360,
1998-03,1422.931,
1998-04,1361.169,
1998-05,1355.110,
1998-06,1367.247,
1998-07,1792.721,
1998-08,1453.559,
1998-09,1420.217,
1998-10,1339.840,
1998-11,1273.814,
1998-12,1453.685,
1999-01,1043.804,
1999-02,1111.199,
1999-03,1394.825,
1999-04,1324.433,
1999-05,1408.244,
1999-06,1548.501,
1999-07,1728.874,
1999-08,1624.500,
1999-09,1592.652,
1999-10,1542.652,
1999-11,1403.167,
1999-12,1424.681,
2000-01,1203.433,
2000-02,1355.536,
2000-03,1592.829,
2000-04,1506.637,
2000-05,1812.875,
2000-06,1797.213,
2000-07,2010.452,
2000-08,1922.047,
2000-09,1868.748,
2000-10,1897.104,
2000-11,1651.083,
2000-12,1621.528,
2001-01,1430.138,
2001-02,1428.847,
2001-03,1592.561,
2001-04,1638.780,
2001-05,1717.188,
2001-06,1773.076,
2001-07,2033.144,
2001-08,1902.864,
2001-09,1696.034,
2001-10,1800.934,
2001-11,1622.083,
2001-12,1528.807,
2002-01,1380.896,
2002-02,1380.888,
2002-03,1561.498,
2002-04,1725.050,
2002-05,1698.540,
2002-06,1775.880,
2002-07,2118.441,
2002-08,1899.182,
2002-09,1779.272,
2002-10,1860.545,
2002-11,1576.802,
2002-12,1593.304,
2003-01,1414.938,
2003-02,1338.632,
2003-03,1560.725,
2003-04,1608.198,
2003-05,1713.124,
2003-06,1821.785,
2003-07,2124.665,
2003-08,1881.267,
2003-09,1854.671,
2003-10,1855.868,
2003-11,1597.874,
2003-12,1653.991,
2004-01,1477.640,
2004-02,1510.772,
2004-03,1720.476,
2004-04,1780.717,
2004-05,1899.507,
2004-06,1962.543,
2004-07,2245.832,
2004-08,2043.484,
2004-09,2048.748,
2004-10,1990.434,
2004-11,1742.917,
2004-12,1819.626,
2005-01,1546.015,
2005-02,1607.207,
2005-03,1763.031,
2005-04,1908.628,
2005-05,2031.196,
2005-06,2131.592,
2005-07,2312.592,
2005-08,2241.860,
2005-09,2105.905,
2005-10,2081.993,
2005-11,1825.730,
2005-12,1893.003,
2006-01,1615.678,
2006-02,1662.275,
2006-03,1782.391,
2006-04,1901.344,
2006-05,2360.870,
2006-06,2947.287,
2006-07,2646.050,
2006-08,2384.805,
2006-09,2339.303,
2006-10,2342.251,
2006-11,2032.207,
2006-12,2109.531,
2007-01,1756.529,
2007-02,1750.453,
2007-03,1933.587,
2007-04,2078.320,
2007-05,2313.036,
2007-06,2302.923,
2007-07,2692.285,
2007-08,2559.317,
2007-09,2418.675,
2007-10,2448.147,
2007-11,2019.821,
2007-12,2022.477,
2008-01,1781.534,
2008-02,1832.456,
2008-03,1938.981,
2008-04,2155.178,
2008-05,2394.042,
2008-06,2402.314,
2008-07,2744.343,
2008-08,2562.402,
2008-09,2498.220,
2008-10,2555.446,
