"",BBSF2.M.1.T.00000.TOT01.I.F.INV.IE.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.IE.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / Ireland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:25,
2009-09,5474,
2009-10,5508,
2009-11,5646,
2009-12,6191,
2010-01,6358,
2010-02,6462,
2010-03,6899,
2010-04,7031,
2010-05,7239,
2010-06,7339,
2010-07,7761,
2010-08,8358,
2010-09,8858,
2010-10,9279,
2010-11,9679,
2010-12,10083,
2011-01,10870,
2011-02,11045,
2011-03,11037,
2011-04,11492,
2011-05,11768,
2011-06,11882,
2011-07,12190,
2011-08,10998,
2011-09,11072,
2011-10,11281,
2011-11,11161,
2011-12,11023,
2012-01,12319,
2012-02,12663,
2012-03,13311,
2012-04,13720,
2012-05,13585,
2012-06,14033,
2012-07,14788,
2012-08,15005,
2012-09,15444,
2012-10,15479,
2012-11,15894,
2012-12,17253,
2013-01,17543,
2013-02,18531,
2013-03,19835,
2013-04,20279,
2013-05,20151,
2013-06,18466,
2013-07,19853,
2013-08,19300,
2013-09,19995,
2013-10,21380,
2013-11,21361,
2013-12,21499,
2014-01,21475,
2014-02,22035,
2014-03,22354,
2014-04,23173,
2014-05,23828,
2014-06,24795,
2014-07,25342,
2014-08,26618,
2014-09,27105,
2014-10,26806,
2014-11,28106,
