"",BBEX3.M.JMD.USD.CA.AB.A01,BBEX3.M.JMD.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Jamaica / USD 1 = JMD ... (selling),
unit,JMD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:12,
1990-01,7.0000,
1990-02,7.0000,
1990-03,7.0000,
1990-04,7.0000,
1990-05,7.0000,
1990-06,7.0000,
1990-07,7.0000,
1990-08,7.0000,
1990-09,7.9779,
1990-10,7.9982,
1990-11,8.0702,
1990-12,8.0720,
1991-01,8.1407,
1991-02,8.2403,
1991-03,8.3675,
1991-04,8.6409,
1991-05,9.2025,
1991-06,10.2879,
1991-07,10.3697,
1991-08,12.0721,
1991-09,16.2400,
1991-10,18.2100,
1991-11,18.4200,
1991-12,19.1900,
1992-01,20.5030,
1992-02,21.7150,
1992-03,24.7450,
1992-04,24.5986,
1992-05,23.0000,
1992-06,22.3500,
1992-07,22.2000,
1992-08,22.2000,
1992-09,22.2000,
1992-10,22.2000,
1992-11,22.2000,
1992-12,22.2000,
1993-01,22.2000,
1993-02,22.2000,
1993-03,22.2000,
1993-04,22.2000,
1993-05,22.2000,
1993-06,24.1063,
1993-07,24.9690,
1993-08,25.8317,
1993-09,27.9125,
1993-10,27.9125,
1993-11,29.4350,
1993-12,29.4350,
1994-01,31.5665,
1994-02,31.5665,
1994-03,31.5665,
1994-04,31.5665,
1994-05,31.5665,
1994-06,32.5307,
1994-07,32.8860,
1994-08,32.8860,
1994-09,32.8860,
1994-10,32.8860,
1994-11,32.8860,
1994-12,32.8860,
1995-01,32.8860,
1995-02,32.8860,
1995-03,33.1905,
1995-04,33.1905,
1995-05,33.3935,
1995-06,33.4950,
1995-07,33.6980,
1995-08,34.4593,
1995-09,36.5400,
1995-10,37.1000,
1995-11,39.3500,
1995-12,39.3500,
1996-01,39.1300,
1996-02,39.1300,
1996-03,39.1300,
1996-04,39.1300,
1996-05,38.4700,
1996-06,35.5300,
1996-07,35.5300,
1996-08,34.9700,
1996-09,35.1200,
1996-10,35.1200,
1996-11,35.1200,
1996-12,35.1200,
1997-01,34.8500,
1997-02,35.0200,
1997-03,35.0200,
1997-04,35.4000,
1997-05,35.1500,
1997-06,35.3200,
1997-07,35.3200,
1997-08,35.5300,
1997-09,35.8600,
1997-10,35.8600,
1997-11,35.8600,
1997-12,36.0000,
1998-01,36.0000,
1998-02,36.0000,
1998-03,36.0000,
1998-04,36.0000,
1998-05,36.0000,
1998-06,36.0000,
1998-07,36.0000,
1998-08,36.0000,
1998-09,36.4500,
1998-10,36.7000,
1998-11,36.7000,
1998-12,36.7000,
1999-01,36.7000,
1999-02,36.9700,
1999-03,37.2500,
1999-04,37.2500,
