"",BBFN1.M.DE.N.1.A.UA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.UA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Ukraine,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:50,
1995-01,0.023,
1995-02,0.022,
1995-03,0.022,
1995-04,0.022,
1995-05,0.024,
1995-06,0.024,
1995-07,0.024,
1995-08,0.021,
1995-09,0.024,
1995-10,0.025,
1995-11,0.024,
1995-12,0.007,
1996-01,0.005,
1996-02,0.010,
1996-03,0.010,
1996-04,0.009,
1996-05,0.018,
1996-06,0.019,
1996-07,0.017,
1996-08,0.017,
1996-09,0.017,
1996-10,0.017,
1996-11,0.018,
1996-12,0.018,
1997-01,0.021,
1997-02,0.021,
1997-03,0.020,
1997-04,0.024,
1997-05,0.022,
1997-06,0.024,
1997-07,0.027,
1997-08,0.026,
1997-09,0.021,
1997-10,0.024,
1997-11,0.021,
1997-12,0.020,
1998-01,0.025,
1998-02,0.025,
1998-03,0.024,
1998-04,0.029,
1998-05,0.027,
1998-06,0.027,
1998-07,0.024,
1998-08,0.025,
1998-09,0.024,
1998-10,0.024,
1998-11,0.025,
1998-12,0.025,
1999-01,0.026,
1999-02,0.023,
1999-03,0.023,
1999-04,0.023,
1999-05,0.022,
1999-06,0.022,
1999-07,0.022,
1999-08,0.021,
1999-09,0.021,
1999-10,0.030,
1999-11,0.027,
1999-12,0.027,
2000-01,0.027,
2000-02,0.028,
2000-03,0.024,
2000-04,0.027,
2000-05,0.025,
2000-06,0.022,
2000-07,0.021,
2000-08,0.021,
2000-09,0.024,
2000-10,0.023,
2000-11,0.023,
2000-12,0.020,
2001-01,0.018,
2001-02,0.018,
2001-03,0.017,
2001-04,0.051,
2001-05,0.051,
2001-06,0.053,
2001-07,0.054,
2001-08,0.023,
2001-09,0.022,
2001-10,0.038,
2001-11,0.038,
2001-12,0.040,
2002-01,0.041,
2002-02,0.043,
2002-03,0.055,
2002-04,0.050,
2002-05,0.050,
2002-06,0.051,
2002-07,0.048,
2002-08,0.048,
2002-09,0.046,
2002-10,0.038,
2002-11,0.039,
2002-12,0.041,
2003-01,0.040,
2003-02,0.032,
2003-03,0.031,
2003-04,0.066,
2003-05,0.035,
2003-06,0.037,
2003-07,0.035,
2003-08,0.035,
2003-09,0.036,
2003-10,0.034,
2003-11,0.039,
2003-12,0.052,
2004-01,0.055,
2004-02,0.065,
2004-03,0.066,
2004-04,0.068,
2004-05,0.067,
2004-06,0.076,
2004-07,0.077,
2004-08,0.069,
2004-09,0.075,
2004-10,0.077,
2004-11,0.073,
2004-12,0.071,
2005-01,0.071,
2005-02,0.075,
2005-03,0.073,
2005-04,0.072,
2005-05,0.070,
2005-06,0.081,
2005-07,0.084,
2005-08,0.088,
2005-09,0.075,
2005-10,0.092,
2005-11,0.094,
2005-12,0.098,
2006-01,0.114,
2006-02,0.121,
2006-03,0.126,
2006-04,0.134,
2006-05,0.140,
2006-06,0.146,
2006-07,0.152,
2006-08,0.174,
2006-09,0.173,
2006-10,0.177,
2006-11,0.177,
2006-12,0.191,
2007-01,0.195,
2007-02,0.193,
2007-03,0.208,
2007-04,0.207,
2007-05,0.210,
2007-06,0.207,
2007-07,0.197,
2007-08,0.187,
2007-09,0.231,
2007-10,0.245,
2007-11,0.201,
2007-12,0.219,
2008-01,0.265,
2008-02,0.261,
2008-03,0.261,
2008-04,0.267,
2008-05,0.264,
2008-06,0.292,
2008-07,0.314,
2008-08,0.336,
2008-09,0.365,
2008-10,0.387,
2008-11,0.418,
2008-12,0.351,
2009-01,0.390,
2009-02,0.423,
2009-03,0.421,
2009-04,0.433,
2009-05,0.429,
2009-06,0.432,
2009-07,0.423,
2009-08,0.433,
2009-09,0.434,
2009-10,0.433,
2009-11,0.423,
2009-12,0.433,
2010-01,0.447,
2010-02,0.458,
2010-03,0.507,
2010-04,0.525,
2010-05,0.541,
2010-06,0.553,
2010-07,0.546,
2010-08,0.544,
2010-09,0.503,
2010-10,0.506,
2010-11,0.516,
2010-12,0.482,
2011-01,0.498,
2011-02,0.511,
2011-03,0.519,
2011-04,0.518,
2011-05,0.518,
2011-06,0.499,
2011-07,0.497,
2011-08,0.484,
2011-09,0.453,
2011-10,0.460,
2011-11,0.476,
2011-12,0.464,
2012-01,0.461,
2012-02,0.467,
2012-03,0.476,
2012-04,0.477,
2012-05,0.487,
2012-06,0.461,
2012-07,0.447,
2012-08,0.432,
2012-09,0.438,
2012-10,0.446,
2012-11,0.447,
2012-12,0.442,
2013-01,0.454,
2013-02,0.441,
2013-03,0.425,
2013-04,0.427,
2013-05,0.424,
2013-06,0.429,
2013-07,0.420,
2013-08,0.425,
2013-09,0.424,
2013-10,0.430,
2013-11,0.436,
2013-12,0.426,
2014-01,0.434,
2014-02,0.440,
2014-03,0.457,
2014-04,0.436,
2014-05,0.442,
2014-06,0.436,
2014-07,0.448,
2014-08,0.457,
2014-09,0.455,
2014-10,0.448,
2014-11,0.437,
2014-12,0.445,
