"",BBK01.OEHM04O,BBK01.OEHM04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:46,
2002-01,0.307,
2002-04,0.318,
2002-07,0.291,
2002-10,0.286,
2003-01,0.251,
2003-04,0.246,
2003-07,0.240,
2003-10,0.253,
2004-01,0.209,
2004-04,0.246,
2004-07,0.245,
2004-10,0.266,
2005-01,0.250,
2005-04,0.263,
2005-07,0.274,
2005-10,0.233,
2006-01,0.232,
2006-04,0.255,
2006-07,0.287,
2006-10,0.281,
2007-01,0.253,
2007-04,0.290,
2007-07,0.340,
2007-10,0.391,
2008-01,0.341,
2008-04,0.396,
2008-07,0.376,
2008-10,0.444,
2009-01,0.387,
2009-04,0.342,
2009-07,0.273,
2009-10,0.316,
2010-01,0.202,
2010-04,0.223,
2010-07,0.249,
2010-10,0.326,
2011-01,0.285,
2011-04,0.377,
2011-07,0.378,
2011-10,0.477,
2012-01,0.380,
2012-04,0.410,
2012-07,0.333,
2012-10,0.422,
2013-01,0.302,
2013-04,0.334,
2013-07,0.309,
2013-10,0.379,
2014-01,0.206,
2014-04,0.226,
2014-07,0.235,
