"",BBK01.OEBO04G,BBK01.OEBO04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:32,
2002-01,0.158,
2002-04,-0.817,
2002-07,0.059,
2002-10,0.332,
2003-01,0.403,
2003-04,-0.170,
2003-07,0.348,
2003-10,-0.013,
2004-01,0.154,
2004-04,0.153,
2004-07,0.267,
2004-10,0.137,
2005-01,0.161,
2005-04,0.284,
2005-07,-0.196,
2005-10,-0.258,
2006-01,-0.244,
2006-04,-0.115,
2006-07,-0.150,
2006-10,-0.134,
2007-01,0.555,
2007-04,0.046,
2007-07,0.069,
2007-10,0.299,
2008-01,0.097,
2008-04,0.327,
2008-07,-0.139,
2008-10,0.896,
2009-01,0.091,
2009-04,0.299,
2009-07,0.569,
2009-10,-0.400,
2010-01,-0.416,
2010-04,-0.333,
2010-07,-0.136,
2010-10,0.391,
2011-01,0.145,
2011-04,-0.233,
2011-07,-0.114,
2011-10,-0.156,
2012-01,0.525,
2012-04,0.056,
2012-07,-0.204,
2012-10,-0.301,
2013-01,-0.702,
2013-04,-0.450,
2013-07,-0.310,
2013-10,-0.251,
2014-01,-0.071,
2014-04,-0.278,
2014-07,0.158,
