"",BBK01.OEBJ01L,BBK01.OEBJ01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:04,
2002-01,65.732,
2002-04,72.315,
2002-07,76.995,
2002-10,76.049,
2003-01,76.110,
2003-04,83.136,
2003-07,88.783,
2003-10,82.677,
2004-01,85.374,
2004-04,88.451,
2004-07,87.440,
2004-10,83.212,
2005-01,93.243,
2005-04,98.269,
2005-07,102.810,
2005-10,95.241,
2006-01,114.129,
2006-04,116.758,
2006-07,117.378,
2006-10,109.685,
2007-01,113.662,
2007-04,117.904,
2007-07,127.536,
2007-10,128.114,
2008-01,139.269,
2008-04,135.065,
2008-07,128.087,
2008-10,142.402,
2009-01,141.033,
2009-04,145.279,
2009-07,132.715,
2009-10,126.395,
2010-01,125.980,
2010-04,129.155,
2010-07,130.619,
2010-10,155.840,
2011-01,154.745,
2011-04,168.691,
2011-07,165.205,
2011-10,161.922,
2012-01,155.943,
2012-04,151.631,
2012-07,147.055,
2012-10,149.614,
2013-01,155.624,
2013-04,170.595,
2013-07,135.493,
2013-10,133.168,
2014-01,133.375,
2014-04,132.648,
2014-07,142.235,
