"",BBK01.OEHK01J,BBK01.OEHK01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:24,
2002-01,0.242,
2002-04,0.235,
2002-07,0.225,
2002-10,0.229,
2003-01,0.208,
2003-04,0.214,
2003-07,0.207,
2003-10,0.201,
2004-01,0.194,
2004-04,0.195,
2004-07,0.204,
2004-10,0.184,
2005-01,0.167,
2005-04,0.183,
2005-07,0.182,
2005-10,0.177,
2006-01,0.170,
2006-04,0.174,
2006-07,0.216,
2006-10,0.216,
2007-01,0.213,
2007-04,0.216,
2007-07,0.218,
2007-10,0.215,
2008-01,0.215,
2008-04,0.247,
2008-07,0.260,
2008-10,0.289,
2009-01,0.281,
2009-04,0.283,
2009-07,0.294,
2009-10,0.299,
2010-01,0.270,
2010-04,0.265,
2010-07,0.271,
2010-10,0.291,
2011-01,0.278,
2011-04,0.269,
2011-07,0.268,
2011-10,0.288,
2012-01,0.288,
2012-04,0.301,
2012-07,0.308,
2012-10,0.316,
2013-01,0.325,
2013-04,0.346,
2013-07,0.361,
2013-10,0.364,
2014-01,0.368,
2014-04,0.370,
2014-07,0.423,
