"",BBK01.OEBB06K,BBK01.OEBB06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:09,
2002-01,10.927,
2002-04,10.808,
2002-07,9.826,
2002-10,9.506,
2003-01,8.855,
2003-04,8.919,
2003-07,9.257,
2003-10,9.925,
2004-01,8.289,
2004-04,8.248,
2004-07,8.596,
2004-10,8.850,
2005-01,7.866,
2005-04,7.814,
2005-07,7.709,
2005-10,8.897,
2006-01,7.978,
2006-04,8.503,
2006-07,9.080,
2006-10,9.163,
2007-01,8.754,
2007-04,8.492,
2007-07,9.167,
2007-10,9.413,
2008-01,9.823,
2008-04,10.023,
2008-07,9.736,
2008-10,9.654,
2009-01,10.293,
2009-04,9.994,
2009-07,9.864,
2009-10,9.902,
2010-01,10.331,
2010-04,11.715,
2010-07,9.360,
2010-10,9.631,
2011-01,9.338,
2011-04,9.284,
2011-07,9.453,
2011-10,8.975,
2012-01,9.467,
2012-04,10.054,
2012-07,10.070,
2012-10,10.044,
2013-01,10.262,
2013-04,10.132,
2013-07,10.436,
2013-10,10.345,
2014-01,10.722,
2014-04,10.979,
2014-07,10.515,
