"",BBK01.CEFC01,BBK01.CEFC01_FLAGS
"",Financial derivatives and employee stock options  debtor: Total                          creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:59,
1999-01,4.9,
1999-04,5.5,
1999-07,5.4,
1999-10,5.4,
2000-01,5.4,
2000-04,5.5,
2000-07,6.1,
2000-10,6.7,
2001-01,7.2,
2001-04,7.6,
2001-07,8.4,
2001-10,9.2,
2002-01,9.6,
2002-04,4.2,
2002-07,5.6,
2002-10,4.7,
2003-01,8.8,
2003-04,6.4,
2003-07,9.3,
2003-10,7.1,
2004-01,11.4,
2004-04,2.6,
2004-07,6.6,
2004-10,5.0,
2005-01,4.9,
2005-04,7.8,
2005-07,16.2,
2005-10,16.1,
2006-01,23.3,
2006-04,26.7,
2006-07,28.2,
2006-10,34.9,
2007-01,40.9,
2007-04,54.2,
2007-07,56.8,
2007-10,42.4,
2008-01,51.6,
2008-04,64.5,
2008-07,72.8,
2008-10,36.6,
2009-01,9.8,
2009-04,37.9,
2009-07,36.7,
2009-10,25.7,
2010-01,24.7,
2010-04,18.6,
2010-07,4.7,
2010-10,29.0,
2011-01,16.2,
2011-04,15.5,
2011-07,15.6,
2011-10,17.1,
2012-01,15.5,
2012-04,16.0,
2012-07,16.3,
2012-10,18.0,
2013-01,17.5,
2013-04,17.6,
2013-07,17.6,
2013-10,16.8,
2014-01,14.1,
2014-04,13.9,
2014-07,13.9,
