"",BBK01.OEAH87J,BBK01.OEAH87J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:25,
2002-01,1.960,
2002-04,1.862,
2002-07,1.971,
2002-10,1.966,
2003-01,1.964,
2003-04,2.152,
2003-07,2.316,
2003-10,2.047,
2004-01,2.237,
2004-04,2.247,
2004-07,2.201,
2004-10,2.079,
2005-01,1.939,
2005-04,2.104,
2005-07,2.255,
2005-10,2.299,
2006-01,2.118,
2006-04,2.028,
2006-07,2.075,
2006-10,0.603,
2007-01,0.624,
2007-04,0.668,
2007-07,0.781,
2007-10,0.628,
2008-01,0.554,
2008-04,0.520,
2008-07,0.649,
2008-10,0.571,
2009-01,0.536,
2009-04,0.504,
2009-07,0.486,
2009-10,0.448,
2010-01,0.446,
2010-04,0.711,
2010-07,0.647,
2010-10,0.859,
2011-01,0.754,
2011-04,0.696,
2011-07,0.764,
2011-10,0.762,
2012-01,0.638,
2012-04,0.571,
2012-07,0.446,
2012-10,0.219,
2013-01,0.162,
2013-04,0.112,
2013-07,0.091,
2013-10,0.090,
2014-01,0.075,
2014-04,0.076,
2014-07,0.072,
