"",BBK01.OEBM01G,BBK01.OEBM01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:14,
2002-01,2.117,
2002-04,3.102,
2002-07,3.096,
2002-10,2.975,
2003-01,2.784,
2003-04,3.031,
2003-07,2.583,
2003-10,2.671,
2004-01,2.344,
2004-04,3.260,
2004-07,2.827,
2004-10,1.969,
2005-01,2.231,
2005-04,2.196,
2005-07,1.411,
2005-10,1.469,
2006-01,1.460,
2006-04,1.446,
2006-07,1.093,
2006-10,1.461,
2007-01,1.663,
2007-04,1.987,
2007-07,1.706,
2007-10,1.365,
2008-01,1.070,
2008-04,1.628,
2008-07,1.643,
2008-10,1.858,
2009-01,2.213,
2009-04,2.346,
2009-07,2.467,
2009-10,2.082,
2010-01,1.459,
2010-04,2.114,
2010-07,2.237,
2010-10,1.500,
2011-01,1.470,
2011-04,2.173,
2011-07,1.806,
2011-10,2.107,
2012-01,2.495,
2012-04,3.532,
2012-07,3.205,
2012-10,3.408,
2013-01,2.915,
2013-04,3.413,
2013-07,2.852,
2013-10,2.868,
2014-01,2.775,
2014-04,3.141,
2014-07,3.090,
