"",BBK01.OEHB23V,BBK01.OEHB23V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:48,
2002-01,0.098,
2002-04,0.097,
2002-07,0.101,
2002-10,0.155,
2003-01,0.156,
2003-04,0.156,
2003-07,0.159,
2003-10,0.157,
2004-01,0.133,
2004-04,0.135,
2004-07,0.157,
2004-10,0.148,
2005-01,0.122,
2005-04,0.117,
2005-07,0.116,
2005-10,0.102,
2006-01,0.101,
2006-04,0.093,
2006-07,0.094,
2006-10,0.107,
2007-01,0.164,
2007-04,0.164,
2007-07,0.164,
2007-10,0.161,
2008-01,0.148,
2008-04,0.148,
2008-07,0.148,
2008-10,0.198,
2009-01,0.229,
2009-04,0.238,
2009-07,0.236,
2009-10,0.237,
2010-01,0.235,
2010-04,0.236,
2010-07,0.242,
2010-10,0.215,
2011-01,0.194,
2011-04,0.221,
2011-07,0.187,
2011-10,0.187,
2012-01,0.160,
2012-04,0.160,
2012-07,0.160,
2012-10,0.168,
2013-01,0.164,
2013-04,0.166,
2013-07,0.162,
2013-10,0.161,
2014-01,0.121,
2014-04,0.123,
2014-07,0.114,
