"",BBK01.OEAE29T,BBK01.OEAE29T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:13,
2002-01,2.305,
2002-04,2.319,
2002-07,2.345,
2002-10,2.352,
2003-01,2.956,
2003-04,2.966,
2003-07,2.981,
2003-10,3.076,
2004-01,3.080,
2004-04,3.072,
2004-07,3.100,
2004-10,3.103,
2005-01,3.092,
2005-04,3.036,
2005-07,3.048,
2005-10,3.081,
2006-01,3.100,
2006-04,3.043,
2006-07,3.063,
2006-10,3.156,
2007-01,3.149,
2007-04,3.227,
2007-07,3.282,
2007-10,3.329,
2008-01,3.449,
2008-04,3.522,
2008-07,3.602,
2008-10,3.817,
2009-01,4.177,
2009-04,4.363,
2009-07,4.497,
2009-10,4.700,
2010-01,4.575,
2010-04,4.513,
2010-07,4.537,
2010-10,4.550,
2011-01,4.534,
2011-04,4.614,
2011-07,4.656,
2011-10,4.635,
2012-01,4.883,
2012-04,4.809,
2012-07,4.876,
2012-10,5.018,
2013-01,5.049,
2013-04,5.188,
2013-07,5.159,
2013-10,5.289,
2014-01,5.454,
2014-04,5.610,
2014-07,5.652,
