"",BBFB1.Q.N.DE.CH.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:49,
1991-01,1010.362,
1991-04,433.685,
1991-07,312.828,
1991-10,303.215,
1992-01,318.615,
1992-04,452.580,
1992-07,-36.090,
1992-10,-205.990,
1993-01,-53.462,
1993-04,-170.523,
1993-07,-395.964,
1993-10,238.426,
1994-01,-478.615,
1994-04,-70.427,
1994-07,-646.114,
1994-10,-685.307,
1995-01,179.365,
1995-04,-8.863,
1995-07,254.414,
1995-10,72.849,
1996-01,23.933,
1996-04,206.658,
1996-07,-191.322,
1996-10,-970.379,
1997-01,-75.092,
1997-04,146.825,
1997-07,-229.915,
1997-10,455.187,
1998-01,83.591,
1998-04,-182.424,
1998-07,-189.692,
1998-10,471.410,
1999-01,448.212,
1999-04,429.205,
1999-07,-609.721,
1999-10,-512.344,
2000-01,452.323,
2000-04,-65.548,
2000-07,43.082,
2000-10,226.447,
2001-01,642.970,
2001-04,544.311,
2001-07,453.985,
2001-10,475.773,
2002-01,508.830,
2002-04,761.267,
2002-07,458.090,
2002-10,782.607,
2003-01,416.185,
2003-04,503.616,
2003-07,957.791,
2003-10,1147.868,
2004-01,839.695,
2004-04,826.348,
2004-07,718.668,
2004-10,1509.542,
2005-01,1070.992,
2005-04,73.993,
2005-07,727.042,
2005-10,-84.824,
2006-01,14.192,
2006-04,487.222,
2006-07,916.730,
2006-10,2231.727,
2007-01,364.181,
2007-04,387.853,
2007-07,629.297,
2007-10,1163.104,
2008-01,1171.441,
2008-04,-53.773,
2008-07,618.119,
2008-10,2257.369,
2009-01,1823.685,
2009-04,1393.939,
2009-07,2037.546,
2009-10,2576.871,
2010-01,2237.795,
2010-04,1283.629,
2010-07,2132.591,
2010-10,2820.008,
2011-01,1597.709,
2011-04,1393.708,
2011-07,1980.251,
2011-10,1683.253,
2012-01,2733.287,
2012-04,730.338,
2012-07,194.299,
2012-10,1557.317,
2013-01,2230.268,
2013-04,1192.283,
2013-07,377.901,
2013-10,1043.714,
2014-01,901.883,Provisional value
2014-04,-108.277,Provisional value
2014-07,423.324,Provisional value
