"",BBFN1.M.DE.N.1.L.ES.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ES.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Spain,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:14,
1975-12,0.017,
1976-01,0.017,
1976-02,0.018,
1976-03,0.053,
1976-04,0.050,
1976-05,0.049,
1976-06,0.048,
1976-07,0.050,
1976-08,0.049,
1976-09,0.048,
1976-10,0.049,
1976-11,0.049,
1976-12,0.049,
1977-01,0.015,
1977-02,0.012,
1977-03,0.013,
1977-04,0.014,
1977-05,0.014,
1977-06,0.013,
1977-07,0.014,
1977-08,0.014,
1977-09,0.013,
1977-10,0.013,
1977-11,0.013,
1977-12,0.013,
1978-01,0.011,
1978-02,0.011,
1978-03,0.010,
1978-04,0.011,
1978-05,0.011,
1978-06,0.011,
1978-07,0.013,
1978-08,0.054,
1978-09,0.012,
1978-10,0.012,
1978-11,0.012,
1978-12,0.009,
1979-01,0.010,
1979-02,0.009,
1979-03,0.009,
1979-04,0.008,
1979-05,0.009,
1979-06,0.008,
1979-07,0.009,
1979-08,0.009,
1979-09,0.008,
1979-10,0.008,
1979-11,0.008,
1979-12,0.007,
1980-01,0.010,
1980-02,0.010,
1980-03,0.010,
1980-04,0.011,
1980-05,0.010,
1980-06,0.012,
1980-07,0.017,
1980-08,0.014,
1980-09,0.015,
1980-10,0.026,
1980-11,0.019,
1980-12,0.022,
1981-01,0.035,
1981-02,0.042,
1981-03,0.016,
1981-04,0.031,
1981-05,0.043,
1981-06,0.035,
1981-07,0.031,
1981-08,0.032,
1981-09,0.027,
1981-10,0.027,
1981-11,0.032,
1981-12,0.032,
1982-01,0.024,
1982-02,0.036,
1982-03,0.027,
1982-04,0.031,
1982-05,0.028,
1982-06,0.029,
1982-07,0.025,
1982-08,0.027,
1982-09,0.025,
1982-10,0.020,
1982-11,0.020,
1982-12,0.015,
1983-01,0.014,
