"",BBK01.TQ7016,BBK01.TQ7016_FLAGS
"",Deposit takers - Gross asset position in financial derivatives to capital                             FSI-I016,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:33,
2005-10,848.50,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,695.42,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,827.60,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,1470.16,
2009-01,.,No value available
2009-04,939.39,
2009-07,.,No value available
2009-10,791.96,
2010-01,.,No value available
2010-04,996.85,
2010-07,.,No value available
2010-10,772.20,
2011-01,.,No value available
2011-04,731.06,
2011-07,.,No value available
2011-10,1085.28,
2012-01,.,No value available
2012-04,1095.81,
2012-07,.,No value available
2012-10,972.78,
2013-01,.,No value available
2013-04,814.46,
2013-07,.,No value available
2013-10,678.27,
2014-01,.,No value available
2014-04,648.13,
