"",BBSF2.M.1.P.00000.GEL01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.GEL01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Public funds / Money market funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:12,
2009-09,468,
2009-10,501,
2009-11,562,
2009-12,457,
2010-01,556,
2010-02,500,
2010-03,435,
2010-04,451,
2010-05,466,
2010-06,390,
2010-07,375,
2010-08,367,
2010-09,342,
2010-10,408,
2010-11,423,
2010-12,318,
2011-01,367,
2011-02,357,
2011-03,474,
2011-04,528,
2011-05,473,
2011-06,410,
2011-07,382,
2011-08,441,
2011-09,423,
2011-10,476,
2011-11,381,
2011-12,382,
2012-01,367,
2012-02,413,
2012-03,301,
2012-04,227,
2012-05,221,
2012-06,250,
2012-07,271,
2012-08,237,
2012-09,261,
2012-10,230,
2012-11,203,
2012-12,217,
2013-01,219,
2013-02,148,
2013-03,154,
2013-04,152,
2013-05,143,
2013-06,135,
2013-07,126,
2013-08,133,
2013-09,134,
2013-10,160,
2013-11,155,
2013-12,149,
2014-01,166,
2014-02,163,
2014-03,163,
2014-04,159,
2014-05,172,
2014-06,167,
2014-07,161,
2014-08,140,
2014-09,127,
2014-10,128,
2014-11,178,
