"",BBFN1.M.DE.N.1.L.IT.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IT.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Italy,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:55,
1982-09,0.073,
1982-10,0.082,
1982-11,0.079,
1982-12,0.079,
1983-01,0.105,
1983-02,0.089,
1983-03,0.084,
1983-04,0.086,
1983-05,0.082,
1983-06,0.094,
1983-07,0.101,
1983-08,0.098,
1983-09,0.100,
1983-10,0.085,
1983-11,0.087,
1983-12,0.086,
1984-01,0.077,
1984-02,0.085,
1984-03,0.079,
1984-04,0.080,
1984-05,0.080,
1984-06,0.085,
1984-07,0.097,
1984-08,0.100,
1984-09,0.101,
1984-10,0.100,
1984-11,0.120,
1984-12,0.113,
1985-01,0.117,
1985-02,0.089,
1985-03,0.079,
1985-04,0.096,
1985-05,0.111,
1985-06,0.115,
1985-07,0.114,
1985-08,0.098,
1985-09,0.099,
1985-10,0.100,
1985-11,0.107,
1985-12,0.096,
1986-01,0.072,
1986-02,0.080,
1986-03,0.085,
1986-04,0.087,
1986-05,0.079,
1986-06,0.102,
1986-07,0.100,
1986-08,0.108,
1986-09,0.107,
1986-10,0.097,
1986-11,0.089,
1986-12,0.081,
1987-01,0.083,
1987-02,0.081,
1987-03,0.060,
1987-04,0.070,
1987-05,0.073,
1987-06,0.080,
1987-07,0.089,
1987-08,0.070,
1987-09,0.085,
1987-10,0.084,
1987-11,0.076,
1987-12,0.071,
1988-01,0.060,
1988-02,0.058,
1988-03,0.110,
1988-04,0.060,
1988-05,0.052,
1988-06,0.049,
1988-07,0.050,
1988-08,0.050,
1988-09,0.044,
1988-10,0.046,
1988-11,0.079,
1988-12,0.125,
1989-01,0.458,
1989-02,0.407,
1989-03,0.392,
1989-04,0.398,
1989-05,0.397,
1989-06,0.403,
1989-07,0.280,
1989-08,0.290,
1989-09,0.293,
1989-10,0.306,
1989-11,0.310,
1989-12,0.361,
1990-01,0.256,
1990-02,0.219,
1990-03,0.214,
1990-04,0.245,
1990-05,0.250,
1990-06,0.286,
1990-07,0.263,
1990-08,0.284,
1990-09,0.296,
1990-10,0.291,
1990-11,0.285,
1990-12,0.300,
1991-01,0.392,
1991-02,0.350,
1991-03,0.315,
1991-04,0.341,
1991-05,0.339,
1991-06,0.417,
1991-07,0.391,
1991-08,0.384,
1991-09,0.412,
1991-10,0.470,
1991-11,0.393,
1991-12,0.442,
1992-01,0.438,
1992-02,0.301,
1992-03,0.237,
1992-04,0.588,
1992-05,0.675,
1992-06,0.807,
1992-07,0.732,
1992-08,0.665,
1992-09,0.659,
1992-10,0.610,
1992-11,0.774,
1992-12,0.749,
1993-01,0.596,
1993-02,0.595,
1993-03,0.603,
1993-04,0.654,
1993-05,0.656,
1993-06,0.611,
1993-07,0.713,
1993-08,0.763,
1993-09,0.748,
1993-10,0.766,
1993-11,0.689,
1993-12,0.671,
1994-01,0.654,
1994-02,0.597,
1994-03,0.648,
1994-04,0.722,
1994-05,0.603,
1994-06,0.528,
1994-07,0.626,
1994-08,0.763,
1994-09,0.648,
1994-10,0.778,
1994-11,0.709,
1994-12,0.698,
1995-01,0.681,
1995-02,0.712,
1995-03,0.762,
1995-04,0.717,
1995-05,0.590,
1995-06,0.732,
1995-07,0.772,
1995-08,0.743,
1995-09,0.760,
1995-10,0.800,
1995-11,0.840,
1995-12,0.876,
1996-01,0.812,
1996-02,0.868,
1996-03,1.035,
1996-04,0.983,
1996-05,0.912,
1996-06,0.968,
1996-07,1.044,
1996-08,0.984,
1996-09,0.973,
1996-10,0.891,
1996-11,0.955,
1996-12,1.176,
1997-01,0.925,
1997-02,0.874,
1997-03,0.905,
1997-04,0.899,
1997-05,0.962,
1997-06,1.048,
1997-07,0.905,
1997-08,0.966,
1997-09,0.987,
1997-10,0.956,
1997-11,1.052,
1997-12,1.076,
1998-01,1.156,
1998-02,1.288,
1998-03,1.199,
1998-04,1.243,
1998-05,1.414,
1998-06,2.919,
1998-07,2.880,
1998-08,2.796,
1998-09,3.017,
1998-10,3.119,
1998-11,2.570,
1998-12,2.659,
1999-01,2.677,
1999-02,2.735,
1999-03,2.924,
1999-04,2.915,
1999-05,2.805,
1999-06,2.322,
1999-07,1.466,
1999-08,1.484,
1999-09,1.641,
1999-10,2.036,
1999-11,1.950,
1999-12,1.684,
2000-01,1.947,
2000-02,2.043,
2000-03,1.897,
2000-04,2.224,
2000-05,2.304,
2000-06,2.080,
2000-07,2.008,
2000-08,2.108,
2000-09,2.562,
2000-10,2.883,
2000-11,2.618,
2000-12,2.466,
2001-01,2.370,
2001-02,2.449,
2001-03,2.689,
2001-04,3.116,
2001-05,2.457,
2001-06,1.973,
2001-07,1.994,
2001-08,2.004,
2001-09,2.417,
2001-10,1.975,
2001-11,1.920,
2001-12,2.520,
2002-01,2.564,
2002-02,2.549,
2002-03,2.364,
2002-04,2.529,
2002-05,2.369,
2002-06,2.640,
2002-07,3.168,
2002-08,3.429,
2002-09,3.839,
2002-10,3.714,
2002-11,3.715,
2002-12,3.129,
2003-01,3.526,
2003-02,3.138,
2003-03,3.510,
2003-04,3.680,
2003-05,3.588,
2003-06,3.584,
2003-07,3.583,
2003-08,4.278,
2003-09,5.364,
2003-10,5.405,
2003-11,5.757,
2003-12,5.539,
2004-01,5.253,
2004-02,5.642,
2004-03,5.492,
2004-04,5.206,
2004-05,5.406,
2004-06,5.248,
2004-07,5.281,
2004-08,3.337,
2004-09,3.399,
2004-10,3.341,
2004-11,3.500,
2004-12,3.405,
2005-01,3.169,
2005-02,3.499,
2005-03,3.616,
2005-04,3.402,
2005-05,3.722,
2005-06,3.651,
2005-07,3.689,
2005-08,3.837,
2005-09,3.964,
2005-10,4.020,
2005-11,4.053,
2005-12,10.590,
2006-01,10.353,
2006-02,10.309,
2006-03,10.624,
2006-04,10.631,
2006-05,10.716,
2006-06,10.774,
2006-07,10.706,
2006-08,10.869,
2006-09,11.125,
2006-10,10.833,
2006-11,11.023,
2006-12,10.827,
2007-01,10.309,
2007-02,10.059,
2007-03,10.284,
2007-04,10.692,
2007-05,12.598,
2007-06,12.915,
2007-07,12.923,
2007-08,5.288,
2007-09,4.893,
2007-10,5.132,
2007-11,5.208,
2007-12,4.907,
2008-01,5.308,
2008-02,5.981,
2008-03,6.049,
2008-04,5.696,
2008-05,5.910,
2008-06,4.997,
2008-07,4.879,
2008-08,5.177,
2008-09,5.619,
2008-10,5.012,
2008-11,5.124,
