"",BBK01.OEXB10S,BBK01.OEXB10S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:03,
2002-01,0.201,
2002-04,0.216,
2002-07,0.223,
2002-10,0.239,
2003-01,0.240,
2003-04,0.269,
2003-07,0.267,
2003-10,0.264,
2004-01,0.279,
2004-04,0.288,
2004-07,0.284,
2004-10,0.293,
2005-01,0.308,
2005-04,0.288,
2005-07,0.289,
2005-10,0.274,
2006-01,0.236,
2006-04,0.229,
2006-07,0.237,
2006-10,0.226,
2007-01,0.243,
2007-04,0.241,
2007-07,0.253,
2007-10,0.261,
2008-01,0.260,
2008-04,0.206,
2008-07,0.222,
2008-10,0.256,
2009-01,0.261,
2009-04,0.270,
2009-07,0.300,
2009-10,0.251,
2010-01,0.238,
2010-04,0.253,
2010-07,0.213,
2010-10,0.224,
2011-01,0.186,
2011-04,0.196,
2011-07,0.196,
2011-10,0.228,
2012-01,0.191,
2012-04,0.187,
2012-07,0.163,
2012-10,0.190,
2013-01,0.145,
2013-04,0.163,
2013-07,0.195,
2013-10,0.147,
2014-01,0.178,
2014-04,0.184,
2014-07,0.193,
