"",BBK01.OECB14H,BBK01.OECB14H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:55,
2002-01,2.462,
2002-04,2.433,
2002-07,2.318,
2002-10,2.336,
2003-01,2.121,
2003-04,2.154,
2003-07,2.005,
2003-10,2.161,
2004-01,1.752,
2004-04,1.766,
2004-07,1.700,
2004-10,1.763,
2005-01,1.755,
2005-04,1.720,
2005-07,1.626,
2005-10,1.679,
2006-01,1.629,
2006-04,1.571,
2006-07,1.406,
2006-10,1.419,
2007-01,1.176,
2007-04,1.193,
2007-07,1.135,
2007-10,1.217,
2008-01,1.111,
2008-04,1.101,
2008-07,1.035,
2008-10,1.113,
2009-01,1.040,
2009-04,0.948,
2009-07,0.950,
2009-10,0.891,
2010-01,0.993,
2010-04,0.951,
2010-07,0.968,
2010-10,1.119,
2011-01,1.016,
2011-04,0.977,
2011-07,0.917,
2011-10,0.912,
2012-01,0.931,
2012-04,0.857,
2012-07,0.840,
2012-10,0.845,
2013-01,0.813,
2013-04,0.792,
2013-07,0.803,
2013-10,0.798,
2014-01,0.756,
2014-04,0.753,
2014-07,0.728,
