"",BBK01.OEYJ04G,BBK01.OEYJ04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:48,
2002-01,2.767,
2002-04,2.558,
2002-07,2.955,
2002-10,3.524,
2003-01,3.465,
2003-04,2.477,
2003-07,2.653,
2003-10,2.887,
2004-01,3.906,
2004-04,2.471,
2004-07,2.501,
2004-10,3.496,
2005-01,2.904,
2005-04,3.215,
2005-07,4.207,
2005-10,4.292,
2006-01,5.061,
2006-04,4.287,
2006-07,6.607,
2006-10,6.997,
2007-01,6.867,
2007-04,7.815,
2007-07,8.274,
2007-10,11.742,
2008-01,12.620,
2008-04,13.860,
2008-07,24.672,
2008-10,22.394,
2009-01,23.598,
2009-04,21.178,
2009-07,19.771,
2009-10,24.511,
2010-01,17.438,
2010-04,17.892,
2010-07,20.202,
2010-10,17.996,
2011-01,24.538,
2011-04,20.797,
2011-07,20.830,
2011-10,16.659,
2012-01,17.048,
2012-04,19.042,
2012-07,15.930,
2012-10,14.113,
2013-01,12.433,
2013-04,9.608,
2013-07,3.582,
2013-10,3.723,
2014-01,3.548,
2014-04,4.053,
2014-07,2.162,
