"",BBFB1.Q.N.DE.IT.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:48,
1991-01,545.137,
1991-04,558.283,
1991-07,580.167,
1991-10,575.098,
1992-01,540.191,
1992-04,523.247,
1992-07,542.335,
1992-10,515.858,
1993-01,433.698,
1993-04,400.044,
1993-07,434.174,
1993-10,361.002,
1994-01,498.969,
1994-04,379.415,
1994-07,398.755,
1994-10,376.872,
1995-01,411.400,
1995-04,403.266,
1995-07,416.876,
1995-10,382.144,
1996-01,558.582,
1996-04,560.170,
1996-07,602.476,
1996-10,607.649,
1997-01,541.135,
1997-04,690.999,
1997-07,692.655,
1997-10,682.259,
1998-01,749.359,
1998-04,876.015,
1998-07,946.173,
1998-10,880.905,
1999-01,1030.962,
1999-04,1321.988,
1999-07,1299.625,
1999-10,1382.473,
2000-01,1458.707,
2000-04,1894.013,
2000-07,1708.718,
2000-10,1579.068,
2001-01,1653.069,
2001-04,1844.437,
2001-07,1705.343,
2001-10,1563.735,
2002-01,1743.246,
2002-04,1968.599,
2002-07,1887.865,
2002-10,1767.159,
2003-01,1708.119,
2003-04,1877.642,
2003-07,1668.750,
2003-10,1579.861,
2004-01,1806.933,
2004-04,2321.121,
2004-07,1968.641,
2004-10,2083.428,
2005-01,2108.467,
2005-04,2577.295,
2005-07,2233.541,
2005-10,2429.180,
2006-01,2431.519,
2006-04,3093.761,
2006-07,2428.249,
2006-10,2749.725,
2007-01,2835.788,
2007-04,3574.360,
2007-07,2887.239,
2007-10,2975.636,
2008-01,2887.794,
2008-04,3211.948,
2008-07,2450.246,
2008-10,2321.382,
2009-01,2069.848,
2009-04,2239.267,
2009-07,1959.291,
2009-10,1938.930,
2010-01,1990.954,
2010-04,2235.404,
2010-07,2015.566,
2010-10,2218.856,
2011-01,2203.460,
2011-04,2545.934,
2011-07,2397.120,
2011-10,2460.108,
2012-01,2368.776,
2012-04,2628.458,
2012-07,2389.011,
2012-10,2406.289,
2013-01,2524.483,
2013-04,2747.033,
2013-07,2492.979,
2013-10,2537.113,
2014-01,2285.162,Provisional value
2014-04,2578.634,Provisional value
2014-07,2452.289,Provisional value
