"",BBK01.OELL07V,BBK01.OELL07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:25,
2002-01,2.563,
2002-04,2.521,
2002-07,2.540,
2002-10,2.636,
2003-01,2.665,
2003-04,2.644,
2003-07,2.669,
2003-10,2.751,
2004-01,2.793,
2004-04,2.788,
2004-07,2.773,
2004-10,2.915,
2005-01,2.945,
2005-04,2.937,
2005-07,2.924,
2005-10,2.949,
2006-01,2.941,
2006-04,2.891,
2006-07,2.849,
2006-10,2.803,
2007-01,2.718,
2007-04,2.630,
2007-07,2.619,
2007-10,2.638,
2008-01,2.609,
2008-04,2.539,
2008-07,2.495,
2008-10,2.549,
2009-01,2.587,
2009-04,2.671,
2009-07,2.687,
2009-10,2.812,
2010-01,2.864,
2010-04,2.881,
2010-07,2.907,
2010-10,2.809,
2011-01,2.801,
2011-04,2.924,
2011-07,2.906,
2011-10,2.947,
2012-01,2.944,
2012-04,2.941,
2012-07,2.980,
2012-10,3.021,
2013-01,3.034,
2013-04,3.041,
2013-07,3.028,
2013-10,3.010,
2014-01,2.988,
2014-04,2.986,
2014-07,2.994,
