"",BBK01.OEAC13N,BBK01.OEAC13N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:57,
2002-01,18.287,
2002-04,18.434,
2002-07,18.440,
2002-10,18.682,
2003-01,18.681,
2003-04,18.965,
2003-07,18.407,
2003-10,16.514,
2004-01,16.544,
2004-04,16.526,
2004-07,16.328,
2004-10,16.670,
2005-01,16.811,
2005-04,14.290,
2005-07,14.199,
2005-10,14.023,
2006-01,12.760,
2006-04,12.208,
2006-07,12.035,
2006-10,12.213,
2007-01,11.890,
2007-04,11.825,
2007-07,11.917,
2007-10,11.654,
2008-01,11.626,
2008-04,11.647,
2008-07,11.748,
2008-10,11.644,
2009-01,11.657,
2009-04,11.773,
2009-07,12.020,
2009-10,11.951,
2010-01,12.105,
2010-04,12.104,
2010-07,13.600,
2010-10,13.434,
2011-01,13.224,
2011-04,13.445,
2011-07,13.390,
2011-10,13.339,
2012-01,14.401,
2012-04,12.864,
2012-07,12.520,
2012-10,12.695,
2013-01,12.723,
2013-04,13.030,
2013-07,13.051,
2013-10,13.227,
2014-01,13.121,
2014-04,13.233,
2014-07,13.451,
