"",BBK01.CELF01,BBK01.CELF01_FLAGS
"",long-term loans                                            debtor: Total            creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:27,
1999-01,-1.1,
1999-04,-2.4,
1999-07,-3.9,
1999-10,-2.3,
2000-01,8.7,
2000-04,6.0,
2000-07,-8.3,
2000-10,14.1,
2001-01,4.1,
2001-04,4.6,
2001-07,-2.3,
2001-10,4.1,
2002-01,22.7,
2002-04,9.9,
2002-07,9.9,
2002-10,-9.4,
2003-01,8.2,
2003-04,2.0,
2003-07,1.8,
2003-10,-1.7,
2004-01,-2.7,
2004-04,-1.6,
2004-07,2.6,
2004-10,-0.1,
2005-01,-21.4,
2005-04,-1.6,
2005-07,2.8,
2005-10,-6.4,
2006-01,14.0,
2006-04,1.1,
2006-07,10.1,
2006-10,2.2,
2007-01,-5.6,
2007-04,-3.3,
2007-07,1.7,
2007-10,10.4,
2008-01,4.3,
2008-04,-3.6,
2008-07,-3.1,
2008-10,3.6,
2009-01,1.8,
2009-04,-1.4,
2009-07,5.5,
2009-10,5.0,
2010-01,8.2,
2010-04,7.0,
2010-07,1.3,
2010-10,6.1,
2011-01,-3.9,
2011-04,-6.2,
2011-07,-0.7,
2011-10,3.5,
2012-01,2.6,
2012-04,0.5,
2012-07,2.0,
2012-10,2.1,
2013-01,-5.3,
2013-04,0.3,
2013-07,1.4,
2013-10,-19.2,
2014-01,-1.5,
2014-04,-2.7,
2014-07,-0.3,
