"",BBK01.OXP8Z3,BBK01.OXP8Z3_FLAGS
"",Trading portfolio derivatives (included in other liabilities) / Foreign banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:44,
2010-12,73.227,
2011-01,68.666,
2011-02,67.227,
2011-03,62.200,
2011-04,65.491,
2011-05,66.248,
2011-06,61.534,
2011-07,72.719,
2011-08,81.664,
2011-09,91.647,
2011-10,85.135,
2011-11,83.871,
2011-12,90.770,
2012-01,86.576,
2012-02,87.080,
2012-03,82.470,
2012-04,83.651,
2012-05,105.957,
2012-06,89.687,
2012-07,96.281,
2012-08,94.715,
2012-09,90.855,
2012-10,86.300,
2012-11,80.140,
2012-12,77.282,
2013-01,70.245,
2013-02,69.953,
2013-03,71.530,
2013-04,71.581,
2013-05,64.244,
2013-06,59.164,
2013-07,59.729,
2013-08,55.748,
2013-09,57.100,
2013-10,56.773,
2013-11,56.828,
2013-12,52.010,
2014-01,53.524,
2014-02,53.337,
2014-03,51.803,
2014-04,52.493,
2014-05,55.624,
2014-06,55.365,
2014-07,57.387,
2014-08,63.324,
2014-09,66.350,
2014-10,65.637,
2014-11,67.787,
2014-12,71.509,Provisional value
