"",BBK01.OEAE16I,BBK01.OEAE16I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:24,
2002-01,0.202,
2002-04,0.202,
2002-07,0.192,
2002-10,0.217,
2003-01,0.220,
2003-04,0.209,
2003-07,0.196,
2003-10,0.228,
2004-01,0.207,
2004-04,0.223,
2004-07,0.219,
2004-10,0.226,
2005-01,0.235,
2005-04,0.232,
2005-07,0.241,
2005-10,0.225,
2006-01,0.214,
2006-04,0.207,
2006-07,0.218,
2006-10,0.233,
2007-01,0.220,
2007-04,0.223,
2007-07,0.221,
2007-10,0.233,
2008-01,0.205,
2008-04,0.201,
2008-07,0.213,
2008-10,0.236,
2009-01,0.238,
2009-04,0.261,
2009-07,0.250,
2009-10,0.245,
2010-01,0.206,
2010-04,0.212,
2010-07,0.229,
2010-10,0.229,
2011-01,0.225,
2011-04,0.226,
2011-07,0.234,
2011-10,0.221,
2012-01,0.239,
2012-04,0.232,
2012-07,0.225,
2012-10,0.245,
2013-01,0.233,
2013-04,0.229,
2013-07,0.212,
2013-10,0.229,
2014-01,0.220,
2014-04,0.208,
2014-07,0.231,
