"",BBK01.OEAA12L,BBK01.OEAA12L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:20,
2002-01,0.722,
2002-04,0.677,
2002-07,0.625,
2002-10,0.549,
2003-01,0.516,
2003-04,0.538,
2003-07,0.511,
2003-10,0.483,
2004-01,0.469,
2004-04,0.454,
2004-07,0.453,
2004-10,0.458,
2005-01,0.396,
2005-04,0.376,
2005-07,0.368,
2005-10,0.402,
2006-01,0.336,
2006-04,0.382,
2006-07,0.322,
2006-10,0.323,
2007-01,0.272,
2007-04,0.290,
2007-07,0.223,
2007-10,0.362,
2008-01,0.232,
2008-04,0.170,
2008-07,0.187,
2008-10,0.157,
2009-01,0.108,
2009-04,0.102,
2009-07,0.098,
2009-10,0.120,
2010-01,0.105,
2010-04,0.081,
2010-07,0.076,
2010-10,0.147,
2011-01,0.067,
2011-04,0.043,
2011-07,0.073,
2011-10,0.095,
2012-01,0.060,
2012-04,0.037,
2012-07,0.052,
2012-10,0.058,
2013-01,0.054,
2013-04,0.038,
2013-07,0.030,
2013-10,0.049,
2014-01,0.030,
2014-04,0.026,
2014-07,0.030,
